sample,cpu_send_ns,gpu_ns,cpu_observed_ns,rtt_ns
0,3808915605677010,1789630299551476736,3808915605686171,9161
1,3808915605686447,1789630299551486976,3808915605697044,10597
2,3808915605697314,1789630299551498240,3808915605707932,10618
3,3808915605708191,1789630299551508480,3808915605718824,10633
4,3808915605719101,1789630299551519744,3808915605729700,10599
5,3808915605729976,1789630299551531008,3808915605740564,10588
6,3808915605740837,1789630299551541248,3808915605751419,10582
7,3808915605751689,1789630299551552512,3808915605762309,10620
8,3808915605762579,1789630299551562752,3808915605773199,10620
9,3808915605773477,1789630299551574016,3808915605784089,10612
10,3808915605784359,1789630299551585280,3808915605795039,10680
11,3808915605795309,1789630299551595520,3808915605805892,10583
12,3808915605806161,1789630299551606784,3808915605816760,10599
13,3808915605817029,1789630299551618048,3808915605827639,10610
14,3808915605827916,1789630299551628288,3808915605838502,10586
15,3808915605838771,1789630299551639552,3808915605849384,10613
16,3808915605849654,1789630299551650816,3808915605860304,10650
17,3808915605860574,1789630299551661056,3808915605871277,10703
18,3808915605871546,1789630299551672320,3808915605882149,10603
19,3808915605882421,1789630299551683584,3808915605893050,10629
20,3808915605893327,1789630299551693824,3808915605903914,10587
21,3808915605904187,1789630299551705088,3808915605914769,10582
22,3808915605915040,1789630299551715328,3808915605925681,10641
23,3808915605925951,1789630299551726592,3808915605936547,10596
24,3808915605936824,1789630299551737856,3808915605947414,10590
25,3808915605947686,1789630299551748096,3808915605958274,10588
26,3808915605958547,1789630299551759360,3808915605969151,10604
27,3808915605969423,1789630299551769600,3808915605980049,10626
28,3808915605980327,1789630299551780864,3808915605990909,10582
29,3808915605991179,1789630299551792128,3808915606001769,10590
30,3808915606002039,1789630299551802368,3808915606012667,10628
31,3808915606012937,1789630299551813632,3808915606023539,10602
32,3808915606023817,1789630299551824896,3808915606034409,10592
33,3808915606034679,1789630299551835136,3808915606045316,10637
34,3808915606045591,1789630299551846400,3808915606056189,10598
35,3808915606056459,1789630299551856640,3808915606067069,10610
36,3808915606067347,1789630299551867904,3808915606078074,10727
37,3808915606078351,1789630299551879168,3808915606088964,10613
38,3808915606089234,1789630299551890432,3808915606099878,10644
39,3808915606100154,1789630299551900672,3808915606110644,10490
40,3808915606110917,1789630299551911936,3808915606121484,10567
41,3808915606121754,1789630299551922176,3808915606132277,10523
42,3808915606132545,1789630299551933440,3808915606143052,10507
43,3808915606143329,1789630299551943680,3808915606153847,10518
44,3808915606154117,1789630299551954944,3808915606164609,10492
45,3808915606164879,1789630299551965184,3808915606175560,10681
46,3808915606175829,1789630299551976448,3808915606186457,10628
47,3808915606186727,1789630299551987712,3808915606197204,10477
48,3808915606197474,1789630299551997952,3808915606208005,10531
49,3808915606208281,1789630299552009216,3808915606218787,10506
50,3808915606219064,1789630299552019456,3808915606229594,10530
51,3808915606229867,1789630299552030720,3808915606240371,10504
52,3808915606240649,1789630299552040960,3808915606251130,10481
53,3808915606251399,1789630299552052224,3808915606261937,10538
54,3808915606262207,1789630299552062464,3808915606272701,10494
55,3808915606272976,1789630299552073728,3808915606283539,10563
56,3808915606283814,1789630299552083968,3808915606294270,10456
57,3808915606294539,1789630299552095232,3808915606305044,10505
58,3808915606305317,1789630299552106496,3808915606315810,10493
59,3808915606316079,1789630299552116736,3808915606326580,10501
60,3808915606326850,1789630299552128000,3808915606337460,10610
61,3808915606337737,1789630299552138240,3808915606348349,10612
62,3808915606348622,1789630299552149504,3808915606359138,10516
63,3808915606359414,1789630299552159744,3808915606369901,10487
64,3808915606370177,1789630299552171008,3808915606380699,10522
65,3808915606380976,1789630299552181248,3808915606391529,10553
66,3808915606391799,1789630299552192512,3808915606402314,10515
67,3808915606402584,1789630299552202752,3808915606413039,10455
68,3808915606413309,1789630299552214016,3808915606423815,10506
69,3808915606424087,1789630299552224256,3808915606434580,10493
70,3808915606434857,1789630299552235520,3808915606445334,10477
71,3808915606445604,1789630299552246784,3808915606456111,10507
72,3808915606456381,1789630299552257024,3808915606466942,10561
73,3808915606467211,1789630299552268288,3808915606477720,10509
74,3808915606477989,1789630299552278528,3808915606488490,10501
75,3808915606488759,1789630299552289792,3808915606499379,10620
76,3808915606499650,1789630299552300032,3808915606510293,10643
77,3808915606510569,1789630299552311296,3808915606521059,10490
78,3808915606521337,1789630299552321536,3808915606531832,10495
79,3808915606532102,1789630299552332800,3808915606542607,10505
80,3808915606542884,1789630299552343040,3808915606553369,10485
81,3808915606553647,1789630299552354304,3808915606564142,10495
82,3808915606564411,1789630299552365568,3808915606574949,10538
83,3808915606575227,1789630299552375808,3808915606585743,10516
84,3808915606586004,1789630299552387072,3808915606596512,10508
85,3808915606596783,1789630299552397312,3808915606607287,10504
86,3808915606607564,1789630299552408576,3808915606618044,10480
87,3808915606618314,1789630299552418816,3808915606628827,10513
88,3808915606629104,1789630299552430080,3808915606639622,10518
89,3808915606639892,1789630299552440320,3808915606650397,10505
90,3808915606650674,1789630299552451584,3808915606661304,10630
91,3808915606661574,1789630299552461824,3808915606672179,10605
92,3808915606672449,1789630299552473088,3808915606682950,10501
93,3808915606683227,1789630299552484352,3808915606693709,10482
94,3808915606693987,1789630299552494592,3808915606704482,10495
95,3808915606704751,1789630299552505856,3808915606715244,10493
96,3808915606715514,1789630299552516096,3808915606725993,10479
97,3808915606726269,1789630299552527360,3808915606736800,10531
98,3808915606737081,1789630299552537600,3808915606747584,10503
99,3808915606747854,1789630299552548864,3808915606758370,10516
100,3808915606758639,1789630299552559104,3808915606769161,10522
101,3808915606769431,1789630299552570368,3808915606779918,10487
102,3808915606780187,1789630299552580608,3808915606790684,10497
103,3808915606790956,1789630299552591872,3808915606801485,10529
104,3808915606801756,1789630299552602112,3808915606812257,10501
105,3808915606812527,1789630299552613376,3808915606823005,10478
106,3808915606823274,1789630299552623616,3808915606833807,10533
107,3808915606834081,1789630299552634880,3808915606844707,10626
108,3808915606844984,1789630299552645120,3808915606855570,10586
109,3808915606855839,1789630299552656384,3808915606866314,10475
110,3808915606866586,1789630299552667648,3808915606877159,10573
111,3808915606877437,1789630299552677888,3808915606887918,10481
112,3808915606888194,1789630299552689152,3808915606898740,10546
113,3808915606899009,1789630299552699392,3808915606909501,10492
114,3808915606909771,1789630299552710656,3808915606920250,10479
115,3808915606920527,1789630299552720896,3808915606931032,10505
116,3808915606931309,1789630299552732160,3808915606941789,10480
117,3808915606942059,1789630299552742400,3808915606957454,15395
118,3808915606957804,1789630299552757760,3808915606967777,9973
119,3808915606968047,1789630299552769024,3808915606978544,10497
120,3808915606978817,1789630299552779264,3808915606989324,10507
121,3808915606989602,1789630299552790528,3808915607000079,10477
122,3808915607000347,1789630299552800768,3808915607010870,10523
123,3808915607011145,1789630299552812032,3808915607021650,10505
124,3808915607021927,1789630299552822272,3808915607032409,10482
125,3808915607032687,1789630299552833536,3808915607043152,10465
126,3808915607043414,1789630299552843776,3808915607053934,10520
127,3808915607054207,1789630299552855040,3808915607064811,10604
128,3808915607065081,1789630299552865280,3808915607075693,10612
129,3808915607075964,1789630299552876544,3808915607086629,10665
130,3808915607086899,1789630299552887808,3808915607097489,10590
