sample,cpu_send_ns,gpu_ns,cpu_observed_ns,rtt_ns
0,3808915590661209,1789630299536460800,3808915590670802,9593
1,3808915590671074,1789630299536472064,3808915590681587,10513
2,3808915590681858,1789630299536482304,3808915590692350,10492
3,3808915590692628,1789630299536493568,3808915590703132,10504
4,3808915590703410,1789630299536504832,3808915590714000,10590
5,3808915590714272,1789630299536515072,3808915590724878,10606
6,3808915590725148,1789630299536526336,3808915590735850,10702
7,3808915590736128,1789630299536536576,3808915590746740,10612
8,3808915590747010,1789630299536547840,3808915590757662,10652
9,3808915590757938,1789630299536559104,3808915590768512,10574
10,3808915590768783,1789630299536569344,3808915590779365,10582
11,3808915590779635,1789630299536580608,3808915590790240,10605
12,3808915590790510,1789630299536591872,3808915590801138,10628
13,3808915590801408,1789630299536602112,3808915590812006,10598
14,3808915590812274,1789630299536613376,3808915590822753,10479
15,3808915590823023,1789630299536623616,3808915590833528,10505
16,3808915590833804,1789630299536634880,3808915590844290,10486
17,3808915590844567,1789630299536645120,3808915590855063,10496
18,3808915590855333,1789630299536656384,3808915590865852,10519
19,3808915590866130,1789630299536666624,3808915590876634,10504
20,3808915590876910,1789630299536677888,3808915590887430,10520
21,3808915590887707,1789630299536689152,3808915590898202,10495
22,3808915590898473,1789630299536699392,3808915590909040,10567
23,3808915590909310,1789630299536710656,3808915590919808,10498
24,3808915590920085,1789630299536720896,3808915590930584,10499
25,3808915590930858,1789630299536732160,3808915590941485,10627
26,3808915590941754,1789630299536742400,3808915590956864,15110
27,3808915590957140,1789630299536757760,3808915590967601,10461
28,3808915590967877,1789630299536769024,3808915590978378,10501
29,3808915590978648,1789630299536779264,3808915590989196,10548
30,3808915590989470,1789630299536790528,3808915591000034,10564
31,3808915591000307,1789630299536800768,3808915591010908,10601
32,3808915591011188,1789630299536812032,3808915591021683,10495
33,3808915591021952,1789630299536823296,3808915591032468,10516
34,3808915591032738,1789630299536833536,3808915591043272,10534
35,3808915591043550,1789630299536844800,3808915591054063,10513
36,3808915591054337,1789630299536855040,3808915591064863,10526
37,3808915591065138,1789630299536866304,3808915591075603,10465
38,3808915591075878,1789630299536876544,3808915591086373,10495
39,3808915591086648,1789630299536887808,3808915591097143,10495
40,3808915591097418,1789630299536898048,3808915591107874,10456
41,3808915591108142,1789630299536909312,3808915591118707,10565
42,3808915591118984,1789630299536919552,3808915591129498,10514
43,3808915591129772,1789630299536930816,3808915591140253,10481
44,3808915591140528,1789630299536941056,3808915591151053,10525
45,3808915591151334,1789630299536952320,3808915591161928,10594
46,3808915591162202,1789630299536963584,3808915591172823,10621
47,3808915591173092,1789630299536973824,3808915591183593,10501
48,3808915591183862,1789630299536985088,3808915591194382,10520
49,3808915591194660,1789630299536995328,3808915591205173,10513
50,3808915591205447,1789630299537006592,3808915591215933,10486
51,3808915591216202,1789630299537016832,3808915591226713,10511
52,3808915591226988,1789630299537028096,3808915591237489,10501
53,3808915591237765,1789630299537038336,3808915591248276,10511
54,3808915591248555,1789630299537049600,3808915591259083,10528
55,3808915591259358,1789630299537059840,3808915591269847,10489
56,3808915591270125,1789630299537071104,3808915591280616,10491
57,3808915591280890,1789630299537081344,3808915591291483,10593
58,3808915591291758,1789630299537092608,3808915591302403,10645
59,3808915591302682,1789630299537103872,3808915591313301,10619
60,3808915591313576,1789630299537114112,3808915591324086,10510
61,3808915591324360,1789630299537125376,3808915591335003,10643
62,3808915591335280,1789630299537136640,3808915591345784,10504
63,3808915591346057,1789630299537146880,3808915591356553,10496
64,3808915591356828,1789630299537158144,3808915591367278,10450
65,3808915591367553,1789630299537168384,3808915591378063,10510
66,3808915591378338,1789630299537179648,3808915591388838,10500
67,3808915591389108,1789630299537189888,3808915591399604,10496
68,3808915591399878,1789630299537201152,3808915591410433,10555
69,3808915591410708,1789630299537211392,3808915591421190,10482
70,3808915591421467,1789630299537222656,3808915591431935,10468
71,3808915591432210,1789630299537232896,3808915591442871,10661
72,3808915591443144,1789630299537244160,3808915591453753,10609
73,3808915591454028,1789630299537255424,3808915591464554,10526
74,3808915591464827,1789630299537265664,3808915591475323,10496
75,3808915591475598,1789630299537276928,3808915591486124,10526
76,3808915591486397,1789630299537287168,3808915591496910,10513
77,3808915591497188,1789630299537298432,3808915591507678,10490
78,3808915591507952,1789630299537308672,3808915591518433,10481
79,3808915591518708,1789630299537319936,3808915591529208,10500
80,3808915591529478,1789630299537330176,3808915591539974,10496
81,3808915591540248,1789630299537341440,3808915591550766,10518
82,3808915591551040,1789630299537351680,3808915591561528,10488
83,3808915591561802,1789630299537362944,3808915591572284,10482
84,3808915591572558,1789630299537373184,3808915591583046,10488
85,3808915591583320,1789630299537384448,3808915591593824,10504
86,3808915591594098,1789630299537394688,3808915591604803,10705
87,3808915591605082,1789630299537405952,3808915591615663,10581
88,3808915591615938,1789630299537417216,3808915591626455,10517
89,3808915591626734,1789630299537427456,3808915591637234,10500
90,3808915591637507,1789630299537438720,3808915591648032,10525
91,3808915591648307,1789630299537448960,3808915591658808,10501
92,3808915591659077,1789630299537460224,3808915591669604,10527
93,3808915591669882,1789630299537470464,3808915591680351,10469
94,3808915591680630,1789630299537481728,3808915591691141,10511
95,3808915591691410,1789630299537491968,3808915591701876,10466
96,3808915591702155,1789630299537503232,3808915591712653,10498
97,3808915591712927,1789630299537513472,3808915591723477,10550
98,3808915591723755,1789630299537524736,3808915591734268,10513
99,3808915591734543,1789630299537534976,3808915591745024,10481
100,3808915591745297,1789630299537546240,3808915591755838,10541
101,3808915591756112,1789630299537557504,3808915591766705,10593
102,3808915591766980,1789630299537567744,3808915591777573,10593
103,3808915591777847,1789630299537579008,3808915591788347,10500
104,3808915591788617,1789630299537589248,3808915591799115,10498
105,3808915591799387,1789630299537600512,3808915591809888,10501
106,3808915591810157,1789630299537610752,3808915591820683,10526
107,3808915591820957,1789630299537622016,3808915591831438,10481
108,3808915591831712,1789630299537632256,3808915591842245,10533
109,3808915591842520,1789630299537643520,3808915591853038,10518
110,3808915591853312,1789630299537653760,3808915591863821,10509
111,3808915591864090,1789630299537665024,3808915591874587,10497
112,3808915591874864,1789630299537675264,3808915591885338,10474
113,3808915591885607,1789630299537686528,3808915591896163,10556
114,3808915591896437,1789630299537697792,3808915591906903,10466
115,3808915591907177,1789630299537708032,3808915591917673,10496
116,3808915591917947,1789630299537719296,3808915591928428,10481
117,3808915591928702,1789630299537729536,3808915591939257,10555
