sample,cpu_send_ns,gpu_ns,cpu_observed_ns,rtt_ns
0,3808917067298658,1789630301013210112,3808917067445999,147341
1,3808917067446256,1789630301013219328,3808917067454278,8022
2,3808917067454533,1789630301013227520,3808917067462536,8003
3,3808917067462790,1789630301013235712,3808917067470873,8083
4,3808917067470896,1789630301013244928,3808917067479154,8258
5,3808917067479398,1789630301013253120,3808917067487433,8035
6,3808917067487680,1789630301013261312,3808917067495726,8046
7,3808917067495980,1789630301013269504,3808917067504023,8043
8,3808917067504267,1789630301013277696,3808917067512295,8028
9,3808917067512540,1789630301013285888,3808917067520606,8066
10,3808917067520850,1789630301013294080,3808917067528916,8066
11,3808917067529160,1789630301013302272,3808917067537208,8048
12,3808917067537462,1789630301013310464,3808917067545448,7986
13,3808917067545703,1789630301013318656,3808917067553808,8105
14,3808917067554052,1789630301013327872,3808917067562080,8028
15,3808917067562337,1789630301013336064,3808917067570420,8083
16,3808917067570677,1789630301013344256,3808917067578850,8173
17,3808917067579107,1789630301013352448,3808917067587153,8046
18,3808917067587397,1789630301013360640,3808917067595423,8026
19,3808917067595680,1789630301013368832,3808917067603750,8070
20,3808917067604007,1789630301013377024,3808917067611997,7990
21,3808917067612252,1789630301013385216,3808917067620333,8081
22,3808917067620578,1789630301013393408,3808917067628625,8047
23,3808917067628880,1789630301013402624,3808917067636916,8036
24,3808917067637160,1789630301013410816,3808917067645208,8048
25,3808917067645463,1789630301013419008,3808917067653510,8047
26,3808917067653764,1789630301013427200,3808917067661808,8044
27,3808917067662053,1789630301013435392,3808917067670126,8073
28,3808917067670360,1789630301013443584,3808917067678428,8068
29,3808917067678673,1789630301013451776,3808917067686710,8037
30,3808917067686964,1789630301013459968,3808917067695070,8106
31,3808917067695327,1789630301013468160,3808917067703440,8113
32,3808917067703697,1789630301013477376,3808917067711734,8037
33,3808917067711980,1789630301013485568,3808917067720010,8030
34,3808917067720265,1789630301013493760,3808917067728348,8083
35,3808917067728590,1789630301013501952,3808917067736673,8083
36,3808917067736917,1789630301013510144,3808917067744969,8052
37,3808917067745212,1789630301013518336,3808917067753293,8081
38,3808917067753537,1789630301013526528,3808917067761588,8051
39,3808917067761844,1789630301013534720,3808917067769840,7996
40,3808917067770095,1789630301013543936,3808917067778260,8165
41,3808917067778517,1789630301013552128,3808917067786570,8053
42,3808917067786827,1789630301013560320,3808917067794878,8051
43,3808917067795133,1789630301013568512,3808917067803206,8073
44,3808917067803450,1789630301013576704,3808917067811515,8065
45,3808917067811760,1789630301013584896,3808917067819803,8043
46,3808917067820047,1789630301013593088,3808917067828076,8029
47,3808917067828320,1789630301013601280,3808917067836350,8030
48,3808917067836605,1789630301013609472,3808917067844680,8075
49,3808917067844938,1789630301013618688,3808917067852976,8038
50,3808917067853220,1789630301013626880,3808917067861270,8050
51,3808917067861527,1789630301013635072,3808917067869566,8039
52,3808917067869810,1789630301013643264,3808917067877860,8050
