sample,cpu_send_ns,gpu_ns,cpu_observed_ns,rtt_ns
0,3808916638835481,1789630300584615936,3808916638842780,7299
1,3808916638843025,1789630300584624128,3808916638850810,7785
2,3808916638851055,1789630300584632320,3808916638858842,7787
3,3808916638859088,1789630300584640512,3808916638866858,7770
4,3808916638867113,1789630300584648704,3808916638874876,7763
5,3808916638875130,1789630300584655872,3808916638883006,7876
6,3808916638883260,1789630300584664064,3808916638891008,7748
7,3808916638891263,1789630300584672256,3808916638899034,7771
8,3808916638899288,1789630300584680448,3808916638907014,7726
9,3808916638907273,1789630300584688640,3808916638915038,7765
10,3808916638915284,1789630300584696832,3808916638922998,7714
11,3808916638923243,1789630300584704000,3808916638931010,7767
12,3808916638931266,1789630300584712192,3808916638939043,7777
13,3808916638939298,1789630300584720384,3808916638947063,7765
14,3808916638947315,1789630300584728576,3808916638955193,7878
15,3808916638955448,1789630300584736768,3808916638963210,7762
16,3808916638963465,1789630300584744960,3808916638971603,8138
17,3808916638971779,1789630300584752128,3808916638979237,7458
18,3808916638979485,1789630300584760320,3808916638987270,7785
19,3808916638987525,1789630300584768512,3808916638995296,7771
20,3808916638995533,1789630300584776704,3808916639003320,7787
21,3808916639003567,1789630300584784896,3808916639011336,7769
22,3808916639011590,1789630300584793088,3808916639019310,7720
23,3808916639019563,1789630300584800256,3808916639027396,7833
24,3808916639027640,1789630300584808448,3808916639035428,7788
25,3808916639035683,1789630300584816640,3808916639043388,7705
26,3808916639043645,1789630300584824832,3808916639051415,7770
27,3808916639051670,1789630300584833024,3808916639059488,7818
28,3808916639059736,1789630300584841216,3808916639067560,7824
29,3808916639067805,1789630300584849408,3808916639075724,7919
30,3808916639075978,1789630300584857600,3808916639083968,7990
31,3808916639084223,1789630300584865792,3808916639092090,7867
32,3808916639092345,1789630300584873984,3808916639100101,7756
33,3808916639100356,1789630300584881152,3808916639108245,7889
34,3808916639108503,1789630300584889344,3808916639116235,7732
35,3808916639116493,1789630300584897536,3808916639124367,7874
36,3808916639124623,1789630300584905728,3808916639132373,7750
37,3808916639132629,1789630300584913920,3808916639140518,7889
38,3808916639140773,1789630300584922112,3808916639148513,7740
39,3808916639148773,1789630300584930304,3808916639156538,7765
40,3808916639156785,1789630300584937472,3808916639164540,7755
41,3808916639164795,1789630300584945664,3808916639172550,7755
42,3808916639172805,1789630300584953856,3808916639180553,7748
43,3808916639180807,1789630300584962048,3808916639188578,7771
44,3808916639188835,1789630300584970240,3808916639196618,7783
45,3808916639196873,1789630300584978432,3808916639204620,7747
46,3808916639204875,1789630300584985600,3808916639212787,7912
