sample,cpu_send_ns,gpu_ns,cpu_observed_ns,rtt_ns
0,3808917056289748,1789630301002207232,3808917056441537,151789
1,3808917056441576,1789630301002215424,3808917056449768,8192
2,3808917056450048,1789630301002223616,3808917056458076,8028
3,3808917056458358,1789630301002231808,3808917056466401,8043
4,3808917056466682,1789630301002240000,3808917056474679,7997
5,3808917056474962,1789630301002248192,3808917056482952,7990
6,3808917056483230,1789630301002256384,3808917056491249,8019
7,3808917056491530,1789630301002264576,3808917056499529,7999
8,3808917056499812,1789630301002273792,3808917056507827,8015
9,3808917056508092,1789630301002281984,3808917056516119,8027
10,3808917056516400,1789630301002290176,3808917056524414,8014
11,3808917056524695,1789630301002298368,3808917056532716,8021
12,3808917056532990,1789630301002306560,3808917056541012,8022
13,3808917056541295,1789630301002314752,3808917056549222,7927
14,3808917056549499,1789630301002322944,3808917056557523,8024
15,3808917056557802,1789630301002331136,3808917056565839,8037
16,3808917056566112,1789630301002339328,3808917056574176,8064
17,3808917056574457,1789630301002347520,3808917056582464,8007
18,3808917056582745,1789630301002356736,3808917056590741,7996
19,3808917056591019,1789630301002364928,3808917056598967,7948
20,3808917056599240,1789630301002373120,3808917056607271,8031
21,3808917056607550,1789630301002381312,3808917056615546,7996
22,3808917056615828,1789630301002389504,3808917056623826,7998
23,3808917056624107,1789630301002397696,3808917056632096,7989
24,3808917056632375,1789630301002405888,3808917056640416,8041
25,3808917056640687,1789630301002414080,3808917056648676,7989
26,3808917056648942,1789630301002422272,3808917056656972,8030
27,3808917056657252,1789630301002430464,3808917056665309,8057
28,3808917056665590,1789630301002438656,3808917056673650,8060
29,3808917056673930,1789630301002447872,3808917056681921,7991
30,3808917056682202,1789630301002456064,3808917056690172,7970
31,3808917056690445,1789630301002464256,3808917056698503,8058
32,3808917056698780,1789630301002472448,3808917056706799,8019
33,3808917056707080,1789630301002480640,3808917056715078,7998
34,3808917056715355,1789630301002488832,3808917056723304,7949
35,3808917056723588,1789630301002497024,3808917056731654,8066
36,3808917056731927,1789630301002505216,3808917056739956,8029
37,3808917056740238,1789630301002513408,3808917056748289,8051
38,3808917056748569,1789630301002521600,3808917056756584,8015
39,3808917056756858,1789630301002530816,3808917056764849,7991
40,3808917056765130,1789630301002539008,3808917056773121,7991
41,3808917056773402,1789630301002547200,3808917056781376,7974
42,3808917056781656,1789630301002555392,3808917056789687,8031
43,3808917056789965,1789630301002563584,3808917056797946,7981
44,3808917056798228,1789630301002571776,3808917056806262,8034
45,3808917056806540,1789630301002579968,3808917056814649,8109
46,3808917056814930,1789630301002588160,3808917056822952,8022
47,3808917056823232,1789630301002596352,3808917056831254,8022
48,3808917056831529,1789630301002605568,3808917056839479,7950
49,3808917056839762,1789630301002613760,3808917056847791,8029
50,3808917056848072,1789630301002621952,3808917056856029,7957
51,3808917056856310,1789630301002630144,3808917056864309,7999
52,3808917056864582,1789630301002638336,3808917056872639,8057
53,3808917056872920,1789630301002646528,3808917056880929,8009
54,3808917056881210,1789630301002654720,3808917056889156,7946
55,3808917056889430,1789630301002662912,3808917056897426,7996
56,3808917056897707,1789630301002671104,3808917056905804,8097
57,3808917056906079,1789630301002679296,3808917056914059,7980
58,3808917056914338,1789630301002687488,3808917056922414,8076
59,3808917056922692,1789630301002696704,3808917056930711,8019
60,3808917056930992,1789630301002704896,3808917056938946,7954
61,3808917056939227,1789630301002713088,3808917056947216,7989
62,3808917056947495,1789630301002721280,3808917056955529,8034
63,3808917056955812,1789630301002729472,3808917056963776,7964
64,3808917056964055,1789630301002737664,3808917056972116,8061
