sample,cpu_send_ns,gpu_ns,cpu_observed_ns,rtt_ns
0,3808916975194493,1789630300920970240,3808916975203268,8775
1,3808916975203552,1789630300920978432,3808916975211539,7987
2,3808916975211817,1789630300920986624,3808916975219853,8036
3,3808916975220127,1789630300920994816,3808916975228296,8169
4,3808916975228577,1789630300921004032,3808916975236578,8001
5,3808916975236853,1789630300921012224,3808916975244908,8055
6,3808916975245185,1789630300921020416,3808916975253140,7955
7,3808916975253420,1789630300921028608,3808916975261478,8058
8,3808916975261752,1789630300921036800,3808916975269710,7958
9,3808916975269993,1789630300921044992,3808916975278013,8020
10,3808916975278295,1789630300921053184,3808916975286303,8008
11,3808916975286577,1789630300921061376,3808916975294583,8006
12,3808916975294865,1789630300921069568,3808916975302896,8031
13,3808916975303175,1789630300921077760,3808916975311213,8038
14,3808916975311493,1789630300921086976,3808916975319493,8000
15,3808916975319772,1789630300921095168,3808916975327846,8074
16,3808916975328127,1789630300921103360,3808916975336083,7956
17,3808916975336367,1789630300921111552,3808916975344436,8069
18,3808916975344717,1789630300921119744,3808916975352746,8029
19,3808916975353027,1789630300921127936,3808916975361010,7983
20,3808916975361285,1789630300921136128,3808916975369303,8018
21,3808916975369585,1789630300921144320,3808916975377586,8001
22,3808916975377867,1789630300921152512,3808916975385895,8028
23,3808916975386177,1789630300921160704,3808916975394190,8013
24,3808916975394465,1789630300921169920,3808916975402433,7968
25,3808916975402715,1789630300921178112,3808916975410723,8008
26,3808916975411002,1789630300921186304,3808916975419003,8001
27,3808916975419282,1789630300921194496,3808916975427283,8001
28,3808916975427567,1789630300921202688,3808916975435613,8046
29,3808916975435887,1789630300921210880,3808916975443843,7956
30,3808916975444123,1789630300921219072,3808916975452083,7960
31,3808916975452365,1789630300921227264,3808916975460366,8001
32,3808916975460645,1789630300921235456,3808916975468553,7908
33,3808916975468827,1789630300921243648,3808916975476753,7926
34,3808916975477032,1789630300921251840,3808916975485023,7991
35,3808916975485300,1789630300921260032,3808916975493206,7906
36,3808916975493487,1789630300921268224,3808916975501323,7836
37,3808916975501603,1789630300921276416,3808916975509548,7945
38,3808916975509823,1789630300921284608,3808916975517783,7960
39,3808916975518065,1789630300921292800,3808916975525966,7901
40,3808916975526247,1789630300921300992,3808916975534124,7877
41,3808916975534406,1789630300921309184,3808916975542298,7892
42,3808916975542580,1789630300921317376,3808916975550503,7923
43,3808916975550785,1789630300921325568,3808916975558699,7914
44,3808916975558977,1789630300921333760,3808916975566903,7926
45,3808916975567182,1789630300921341952,3808916975575103,7921
46,3808916975575386,1789630300921350144,3808916975583298,7912
47,3808916975583582,1789630300921358336,3808916975591461,7879
48,3808916975591743,1789630300921366528,3808916975599728,7985
49,3808916975600002,1789630300921374720,3808916975607878,7876
50,3808916975608160,1789630300921382912,3808916975616073,7913
51,3808916975616352,1789630300921391104,3808916975624255,7903
52,3808916975624535,1789630300921399296,3808916975632448,7913
53,3808916975632730,1789630300921407488,3808916975640643,7913
54,3808916975640922,1789630300921415680,3808916975648843,7921
55,3808916975649124,1789630300921423872,3808916975657038,7914
56,3808916975657317,1789630300921432064,3808916975665263,7946
57,3808916975665537,1789630300921440256,3808916975673423,7886
58,3808916975673697,1789630300921448448,3808916975681573,7876
59,3808916975681855,1789630300921456640,3808916975689818,7963
60,3808916975690093,1789630300921464832,3808916975697973,7880
61,3808916975698253,1789630300921473024,3808916975706206,7953
62,3808916975706487,1789630300921481216,3808916975714326,7839
63,3808916975714607,1789630300921489408,3808916975722519,7912
64,3808916975722792,1789630300921497600,3808916975730748,7956
65,3808916975731027,1789630300921505792,3808916975738938,7911
66,3808916975739217,1789630300921513984,3808916975747130,7913
67,3808916975747407,1789630300921522176,3808916975755320,7913
68,3808916975755602,1789630300921530368,3808916975763523,7921
69,3808916975763803,1789630300921538560,3808916975771721,7918
70,3808916975772000,1789630300921546752,3808916975779976,7976
71,3808916975780257,1789630300921554944,3808916975788218,7961
72,3808916975788493,1789630300921563136,3808916975796423,7930
73,3808916975796697,1789630300921571328,3808916975804573,7876
74,3808916975804855,1789630300921579520,3808916975812813,7958
75,3808916975813093,1789630300921587712,3808916975821253,8160
76,3808916975821534,1789630300921596928,3808916975829368,7834
77,3808916975829650,1789630300921605120,3808916975837563,7913
78,3808916975837843,1789630300921613312,3808916975845760,7917
79,3808916975846040,1789630300921621504,3808916975854016,7976
80,3808916975854302,1789630300921629696,3808916975862296,7994
81,3808916975862578,1789630300921637888,3808916975870468,7890
82,3808916975870750,1789630300921646080,3808916975878622,7872
83,3808916975878900,1789630300921654272,3808916975886856,7956
84,3808916975887137,1789630300921662464,3808916975895054,7917
85,3808916975895336,1789630300921670656,3808916975903248,7912
86,3808916975903527,1789630300921678848,3808916975911441,7914
87,3808916975911722,1789630300921687040,3808916975919709,7987
88,3808916975919990,1789630300921695232,3808916975927896,7906
89,3808916975928177,1789630300921703424,3808916975936110,7933
90,3808916975936385,1789630300921711616,3808916975944259,7874
91,3808916975944542,1789630300921719808,3808916975952418,7876
92,3808916975952697,1789630300921728000,3808916975960573,7876
93,3808916975960855,1789630300921736192,3808916975968823,7968
94,3808916975969105,1789630300921744384,3808916975976978,7873
95,3808916975977252,1789630300921752576,3808916975985206,7954
96,3808916975985487,1789630300921760768,3808916975993378,7891
97,3808916975993660,1789630300921768960,3808916976001578,7918
98,3808916976001852,1789630300921777152,3808916976009803,7951
99,3808916976010085,1789630300921785344,3808916976017988,7903
100,3808916976018262,1789630300921793536,3808916976026103,7841
101,3808916976026377,1789630300921801728,3808916976034330,7953
102,3808916976034610,1789630300921809920,3808916976042516,7906
103,3808916976042795,1789630300921818112,3808916976050703,7908
104,3808916976050977,1789630300921826304,3808916976058968,7991
105,3808916976059243,1789630300921834496,3808916976067113,7870
106,3808916976067387,1789630300921842688,3808916976075318,7931
107,3808916976075593,1789630300921850880,3808916976083508,7915
108,3808916976083790,1789630300921859072,3808916976091737,7947
109,3808916976092017,1789630300921867264,3808916976099926,7909
110,3808916976100207,1789630300921875456,3808916976108086,7879
111,3808916976108370,1789630300921883648,3808916976116243,7873
112,3808916976116525,1789630300921891840,3808916976124483,7958
113,3808916976124767,1789630300921900032,3808916976132678,7911
114,3808916976132953,1789630300921908224,3808916976140898,7945
115,3808916976141172,1789630300921916416,3808916976149053,7881
116,3808916976149333,1789630300921924608,3808916976157249,7916
117,3808916976157523,1789630300921932800,3808916976165433,7910
118,3808916976165717,1789630300921940992,3808916976173681,7964
119,3808916976173955,1789630300921949184,3808916976181828,7873
120,3808916976182107,1789630300921957376,3808916976189993,7886
121,3808916976190267,1789630300921965568,3808916976198223,7956
122,3808916976198502,1789630300921973760,3808916976206463,7961
123,3808916976206737,1789630300921981952,3808916976214610,7873
