sample,cpu_send_ns,gpu_ns,cpu_observed_ns,rtt_ns
0,3809097791365300,1789630481734018048,3809097791546170,180870
1,3809097791546469,1789630481734027264,3809097791554384,7915
2,3809097791554682,1789630481734035456,3809097791562613,7931
3,3809097791562909,1789630481734043648,3809097791570832,7923
4,3809097791570855,1789630481734051840,3809097791579072,8217
5,3809097791579364,1789630481734060032,3809097791587330,7966
6,3809097791587622,1789630481734068224,3809097791595548,7926
7,3809097791595848,1789630481734076416,3809097791603790,7942
8,3809097791604090,1789630481734084608,3809097791612008,7918
9,3809097791612310,1789630481734092800,3809097791620236,7926
10,3809097791620532,1789630481734100992,3809097791628447,7915
11,3809097791628750,1789630481734109184,3809097791636675,7925
12,3809097791636972,1789630481734117376,3809097791644898,7926
13,3809097791645198,1789630481734125568,3809097791653138,7940
14,3809097791653435,1789630481734133760,3809097791661462,8027
15,3809097791661760,1789630481734141952,3809097791669848,8088
16,3809097791670150,1789630481734150144,3809097791678068,7918
17,3809097791678370,1789630481734158336,3809097791686324,7954
18,3809097791686622,1789630481734166528,3809097791694628,8006
19,3809097791694920,1789630481734175744,3809097791702862,7942
20,3809097791703160,1789630481734183936,3809097791711083,7923
21,3809097791711384,1789630481734192128,3809097791719308,7924
22,3809097791719610,1789630481734200320,3809097791727530,7920
23,3809097791727827,1789630481734208512,3809097791735750,7923
24,3809097791736047,1789630481734216704,3809097791743985,7938
25,3809097791744282,1789630481734224896,3809097791752235,7953
26,3809097791752533,1789630481734233088,3809097791760455,7922
27,3809097791760752,1789630481734241280,3809097791768762,8010
28,3809097791769054,1789630481734249472,3809097791776978,7924
29,3809097791777274,1789630481734257664,3809097791785198,7924
30,3809097791785500,1789630481734265856,3809097791793423,7923
31,3809097791793714,1789630481734274048,3809097791801667,7953
32,3809097791801970,1789630481734282240,3809097791809888,7918
33,3809097791810190,1789630481734290432,3809097791818135,7945
34,3809097791818428,1789630481734298624,3809097791826360,7932
35,3809097791826660,1789630481734306816,3809097791834584,7924
36,3809097791834882,1789630481734315008,3809097791842888,8006
37,3809097791843190,1789630481734323200,3809097791851158,7968
38,3809097791851457,1789630481734331392,3809097791859373,7916
39,3809097791859669,1789630481734339584,3809097791867614,7945
40,3809097791867912,1789630481734348800,3809097791875835,7923
41,3809097791876132,1789630481734356992,3809097791884054,7922
42,3809097791884352,1789630481734365184,3809097791892358,8006
43,3809097791892660,1789630481734373376,3809097791900582,7922
44,3809097791900883,1789630481734381568,3809097791908804,7921
45,3809097791909102,1789630481734389760,3809097791917030,7928
46,3809097791917322,1789630481734397952,3809097791925250,7928
47,3809097791925542,1789630481734406144,3809097791933480,7938
48,3809097791933777,1789630481734414336,3809097791941722,7945
49,3809097791942020,1789630481734422528,3809097791949943,7923
50,3809097791950240,1789630481734430720,3809097791958185,7945
51,3809097791958482,1789630481734438912,3809097791966405,7923
52,3809097791966702,1789630481734447104,3809097791974625,7923
53,3809097791974922,1789630481734455296,3809097791982865,7943
54,3809097791983158,1789630481734463488,3809097791991162,8004
55,3809097791991460,1789630481734471680,3809097791999384,7924
56,3809097791999684,1789630481734479872,3809097792007610,7926
57,3809097792007904,1789630481734488064,3809097792015860,7956
58,3809097792016158,1789630481734496256,3809097792024072,7914
59,3809097792024357,1789630481734504448,3809097792032358,8001
60,3809097792032658,1789630481734512640,3809097792040544,7886
