sample,cpu_send_ns,gpu_ns,cpu_observed_ns,rtt_ns
0,3809097274619744,1789630481217110016,3809097274628518,8774
1,3809097274628811,1789630481217118208,3809097274636745,7934
2,3809097274637043,1789630481217126400,3809097274644989,7946
3,3809097274645291,1789630481217134592,3809097274653216,7925
4,3809097274653518,1789630481217143808,3809097274661465,7947
5,3809097274661763,1789630481217152000,3809097274669774,8011
6,3809097274670065,1789630481217160192,3809097274678004,7939
7,3809097274678301,1789630481217168384,3809097274686238,7937
8,3809097274686541,1789630481217176576,3809097274694578,8037
9,3809097274694881,1789630481217184768,3809097274702828,7947
10,3809097274703131,1789630481217192960,3809097274711078,7947
11,3809097274711381,1789630481217201152,3809097274719304,7923
12,3809097274719594,1789630481217209344,3809097274727546,7952
13,3809097274727838,1789630481217217536,3809097274735788,7950
14,3809097274736093,1789630481217225728,3809097274744003,7910
15,3809097274744301,1789630481217233920,3809097274752239,7938
16,3809097274752541,1789630481217242112,3809097274760486,7945
17,3809097274760778,1789630481217250304,3809097274768724,7946
18,3809097274769021,1789630481217258496,3809097274776965,7944
19,3809097274777263,1789630481217266688,3809097274785131,7868
20,3809097274785423,1789630481217274880,3809097274793278,7855
21,3809097274793581,1789630481217283072,3809097274801438,7857
22,3809097274801736,1789630481217291264,3809097274809658,7922
23,3809097274809961,1789630481217299456,3809097274817774,7813
24,3809097274818071,1789630481217307648,3809097274825894,7823
25,3809097274826185,1789630481217315840,3809097274834008,7823
26,3809097274834301,1789630481217324032,3809097274842163,7862
27,3809097274842465,1789630481217332224,3809097274850286,7821
28,3809097274850583,1789630481217340416,3809097274858445,7862
29,3809097274858743,1789630481217348608,3809097274866566,7823
30,3809097274866858,1789630481217356800,3809097274874681,7823
31,3809097274874973,1789630481217364992,3809097274882798,7825
32,3809097274883103,1789630481217373184,3809097274890958,7855
33,3809097274891261,1789630481217381376,3809097274899155,7894
34,3809097274899453,1789630481217389568,3809097274907315,7862
35,3809097274907613,1789630481217397760,3809097274915536,7923
36,3809097274915833,1789630481217405952,3809097274923654,7821
37,3809097274923953,1789630481217414144,3809097274931855,7902
38,3809097274932153,1789630481217422336,3809097274939971,7818
39,3809097274940268,1789630481217430528,3809097274948173,7905
40,3809097274948466,1789630481217438720,3809097274956291,7825
41,3809097274956588,1789630481217445888,3809097274964413,7825
42,3809097274964711,1789630481217454080,3809097274972535,7824
43,3809097274972833,1789630481217462272,3809097274980688,7855
44,3809097274980990,1789630481217470464,3809097274988788,7798
45,3809097274989091,1789630481217478656,3809097274996948,7857
46,3809097274997251,1789630481217486848,3809097275005071,7820
47,3809097275005368,1789630481217495040,3809097275013186,7818
48,3809097275013483,1789630481217503232,3809097275021323,7840
49,3809097275021621,1789630481217511424,3809097275029461,7840
50,3809097275029758,1789630481217519616,3809097275037603,7845
51,3809097275037897,1789630481217527808,3809097275045713,7816
52,3809097275046015,1789630481217536000,3809097275053834,7819
53,3809097275054133,1789630481217544192,3809097275061953,7820
54,3809097275062253,1789630481217552384,3809097275070108,7855
55,3809097275070401,1789630481217560576,3809097275078241,7840
56,3809097275078538,1789630481217568768,3809097275086438,7900
57,3809097275086741,1789630481217576960,3809097275094598,7857
58,3809097275094901,1789630481217585152,3809097275102806,7905
59,3809097275103105,1789630481217593344,3809097275111003,7898
60,3809097275111303,1789630481217601536,3809097275119126,7823
61,3809097275119425,1789630481217609728,3809097275127253,7828
62,3809097275127551,1789630481217616896,3809097275135457,7906
63,3809097275135748,1789630481217626112,3809097275143783,8035
64,3809097275144081,1789630481217634304,3809097275151906,7825
65,3809097275152203,1789630481217642496,3809097275160058,7855
66,3809097275160361,1789630481217649664,3809097275168196,7835
67,3809097275168493,1789630481217657856,3809097275176415,7922
68,3809097275176718,1789630481217666048,3809097275184561,7843
69,3809097275184858,1789630481217674240,3809097275192681,7823
70,3809097275192973,1789630481217682432,3809097275200813,7840
71,3809097275201115,1789630481217690624,3809097275208978,7863
72,3809097275209270,1789630481217698816,3809097275217138,7868
73,3809097275217438,1789630481217707008,3809097275225294,7856
74,3809097275225590,1789630481217715200,3809097275233511,7921
75,3809097275233803,1789630481217723392,3809097275241643,7840
76,3809097275241941,1789630481217731584,3809097275249796,7855
77,3809097275250093,1789630481217739776,3809097275257933,7840
78,3809097275258230,1789630481217747968,3809097275266178,7948
79,3809097275266478,1789630481217756160,3809097275274298,7820
80,3809097275274601,1789630481217764352,3809097275282398,7797
81,3809097275282701,1789630481217772544,3809097275290536,7835
82,3809097275290833,1789630481217780736,3809097275298696,7863
83,3809097275298993,1789630481217788928,3809097275306861,7868
84,3809097275307153,1789630481217797120,3809097275314986,7833
85,3809097275315283,1789630481217805312,3809097275323253,7970
86,3809097275323553,1789630481217813504,3809097275331374,7821
87,3809097275331671,1789630481217821696,3809097275339511,7840
88,3809097275339808,1789630481217829888,3809097275347663,7855
89,3809097275347965,1789630481217838080,3809097275355907,7942
90,3809097275356203,1789630481217846272,3809097275364028,7825
91,3809097275364330,1789630481217854464,3809097275372143,7813
92,3809097275372441,1789630481217862656,3809097275380281,7840
93,3809097275380578,1789630481217870848,3809097275388441,7863
94,3809097275388738,1789630481217878016,3809097275396518,7780
95,3809097275396821,1789630481217886208,3809097275404678,7857
96,3809097275404980,1789630481217894400,3809097275412793,7813
97,3809097275413091,1789630481217902592,3809097275420911,7820
98,3809097275421211,1789630481217910784,3809097275429054,7843
99,3809097275429351,1789630481217918976,3809097275437255,7904
100,3809097275437548,1789630481217927168,3809097275445388,7840
101,3809097275445693,1789630481217935360,3809097275453548,7855
102,3809097275453850,1789630481217943552,3809097275461761,7911
103,3809097275462058,1789630481217951744,3809097275469881,7823
104,3809097275470173,1789630481217959936,3809097275478081,7908
105,3809097275478378,1789630481217968128,3809097275486188,7810
106,3809097275486493,1789630481217976320,3809097275494393,7900
107,3809097275494691,1789630481217984512,3809097275502518,7827
108,3809097275502818,1789630481217992704,3809097275510643,7825
109,3809097275510935,1789630481218000896,3809097275518798,7863
110,3809097275519103,1789630481218009088,3809097275526958,7855
111,3809097275527260,1789630481218017280,3809097275535128,7868
112,3809097275535428,1789630481218025472,3809097275543286,7858
113,3809097275543583,1789630481218033664,3809097275551505,7922
114,3809097275551803,1789630481218041856,3809097275559708,7905
115,3809097275560001,1789630481218050048,3809097275567869,7868
116,3809097275568161,1789630481218058240,3809097275575983,7822
117,3809097275576276,1789630481218066432,3809097275584138,7862
118,3809097275584441,1789630481218074624,3809097275592266,7825
119,3809097275592558,1789630481218082816,3809097275600383,7825
120,3809097275600681,1789630481218089984,3809097275608498,7817
121,3809097275608801,1789630481218098176,3809097275616658,7857
122,3809097275616961,1789630481218106368,3809097275624774,7813
123,3809097275625071,1789630481218114560,3809097275632928,7857
124,3809097275633228,1789630481218122752,3809097275641048,7820
125,3809097275641351,1789630481218130944,3809097275649215,7864
126,3809097275649518,1789630481218139136,3809097275657345,7827
127,3809097275657643,1789630481218147328,3809097275665505,7862
128,3809097275665803,1789630481218155520,3809097275673665,7862
129,3809097275673963,1789630481218163712,3809097275681783,7820
130,3809097275682083,1789630481218171904,3809097275690023,7940
