sample,cpu_send_ns,gpu_ns,cpu_observed_ns,rtt_ns
0,3809097778805127,1789630481721461760,3809097778989619,184492
1,3809097778989888,1789630481721470976,3809097778998980,9092
2,3809097778999234,1789630481721480192,3809097779008288,9054
3,3809097779008550,1789630481721489408,3809097779017614,9064
4,3809097779017637,1789630481721498624,3809097779026899,9262
5,3809097779027167,1789630481721508864,3809097779036227,9060
6,3809097779036487,1789630481721518080,3809097779045529,9042
7,3809097779045796,1789630481721527296,3809097779054814,9018
8,3809097779055082,1789630481721536512,3809097779064134,9052
9,3809097779064404,1789630481721545728,3809097779073464,9060
10,3809097779073734,1789630481721554944,3809097779082909,9175
11,3809097779083177,1789630481721564160,3809097779092246,9069
12,3809097779092514,1789630481721573376,3809097779101568,9054
13,3809097779101837,1789630481721582592,3809097779110884,9047
14,3809097779111149,1789630481721592832,3809097779120229,9080
15,3809097779120497,1789630481721602048,3809097779129544,9047
16,3809097779129812,1789630481721611264,3809097779138859,9047
17,3809097779139127,1789630481721620480,3809097779148186,9059
18,3809097779148447,1789630481721629696,3809097779157488,9041
19,3809097779157757,1789630481721638912,3809097779166809,9052
20,3809097779167079,1789630481721648128,3809097779176134,9055
21,3809097779176399,1789630481721657344,3809097779185439,9040
22,3809097779185699,1789630481721666560,3809097779194839,9140
23,3809097779195106,1789630481721676800,3809097779204154,9048
24,3809097779204421,1789630481721686016,3809097779213454,9033
25,3809097779213722,1789630481721695232,3809097779222774,9052
26,3809097779223034,1789630481721704448,3809097779232084,9050
27,3809097779232349,1789630481721713664,3809097779241369,9020
28,3809097779241637,1789630481721722880,3809097779250684,9047
29,3809097779250949,1789630481721732096,3809097779260044,9095
30,3809097779260312,1789630481721741312,3809097779269344,9032
31,3809097779269611,1789630481721750528,3809097779278664,9053
32,3809097779278924,1789630481721759744,3809097779287979,9055
33,3809097779288239,1789630481721768960,3809097779297289,9050
34,3809097779297557,1789630481721779200,3809097779306616,9059
35,3809097779306887,1789630481721788416,3809097779315931,9044
36,3809097779316199,1789630481721797632,3809097779325246,9047
37,3809097779325507,1789630481721806848,3809097779334598,9091
38,3809097779334859,1789630481721816064,3809097779343951,9092
39,3809097779344211,1789630481721825280,3809097779353269,9058
40,3809097779353537,1789630481721834496,3809097779362589,9052
41,3809097779362849,1789630481721843712,3809097779371898,9049
42,3809097779372166,1789630481721852928,3809097779381364,9198
43,3809097779381632,1789630481721863168,3809097779390684,9052
44,3809097779390954,1789630481721872384,3809097779400038,9084
45,3809097779400306,1789630481721881600,3809097779409359,9053
46,3809097779409629,1789630481721890816,3809097779418638,9009
47,3809097779418907,1789630481721900032,3809097779427960,9053
48,3809097779428229,1789630481721909248,3809097779437284,9055
49,3809097779437551,1789630481721918464,3809097779446599,9048
50,3809097779446867,1789630481721927680,3809097779455884,9017
51,3809097779456150,1789630481721936896,3809097779465244,9094
52,3809097779465511,1789630481721947136,3809097779474469,8958
53,3809097779474737,1789630481721956352,3809097779483699,8962
54,3809097779483969,1789630481721965568,3809097779492934,8965
55,3809097779493199,1789630481721974784,3809097779502294,9095
56,3809097779502559,1789630481721984000,3809097779511524,8965
57,3809097779511794,1789630481721993216,3809097779520729,8935
58,3809097779520997,1789630481722002432,3809097779530044,9047
59,3809097779530311,1789630481722011648,3809097779539364,9053
