sample,cpu_send_ns,gpu_ns,cpu_observed_ns,rtt_ns
0,3809097674060131,1789630481616541696,3809097674068397,8266
1,3809097674068665,1789630481616551936,3809097674077775,9110
2,3809097674078046,1789630481616561152,3809097674087128,9082
3,3809097674087398,1789630481616570368,3809097674096443,9045
4,3809097674096713,1789630481616579584,3809097674105763,9050
5,3809097674106038,1789630481616588800,3809097674115088,9050
6,3809097674115356,1789630481616598016,3809097674124401,9045
7,3809097674124663,1789630481616608256,3809097674133718,9055
8,3809097674133978,1789630481616617472,3809097674143033,9055
9,3809097674143303,1789630481616626688,3809097674152368,9065
10,3809097674152631,1789630481616635904,3809097674161683,9052
11,3809097674161946,1789630481616645120,3809097674170998,9052
12,3809097674171256,1789630481616654336,3809097674180306,9050
13,3809097674180568,1789630481616663552,3809097674202352,21784
14,3809097674202618,1789630481616686080,3809097674212051,9433
15,3809097674212316,1789630481616695296,3809097674221341,9025
16,3809097674221601,1789630481616704512,3809097674230644,9043
17,3809097674230910,1789630481616713728,3809097674240026,9116
18,3809097674240293,1789630481616722944,3809097674249438,9145
19,3809097674249703,1789630481616733184,3809097674258737,9034
20,3809097674259005,1789630481616742400,3809097674268054,9049
21,3809097674268321,1789630481616751616,3809097674277366,9045
22,3809097674277626,1789630481616760832,3809097674286676,9050
23,3809097674286943,1789630481616770048,3809097674295951,9008
24,3809097674296203,1789630481616779264,3809097674305246,9043
25,3809097674305513,1789630481616788480,3809097674314591,9078
26,3809097674314857,1789630481616797696,3809097674323876,9019
27,3809097674324143,1789630481616806912,3809097674333189,9046
28,3809097674333455,1789630481616816128,3809097674342476,9021
29,3809097674342741,1789630481616825344,3809097674351798,9057
30,3809097674352058,1789630481616835584,3809097674361119,9061
31,3809097674361378,1789630481616844800,3809097674370406,9028
32,3809097674370673,1789630481616854016,3809097674379751,9078
33,3809097674380015,1789630481616863232,3809097674389058,9043
34,3809097674389325,1789630481616872448,3809097674398326,9001
35,3809097674398595,1789630481616881664,3809097674407636,9041
36,3809097674407903,1789630481616890880,3809097674416951,9048
37,3809097674417215,1789630481616900096,3809097674426251,9036
38,3809097674426515,1789630481616909312,3809097674435541,9026
39,3809097674435811,1789630481616918528,3809097674444871,9060
40,3809097674445140,1789630481616927744,3809097674454286,9146
41,3809097674454553,1789630481616937984,3809097674463601,9048
42,3809097674463868,1789630481616947200,3809097674472937,9069
43,3809097674473205,1789630481616956416,3809097674482251,9046
44,3809097674482520,1789630481616965632,3809097674491555,9035
45,3809097674491820,1789630481616974848,3809097674500859,9039
46,3809097674501128,1789630481616984064,3809097674510158,9030
47,3809097674510428,1789630481616993280,3809097674519476,9048
48,3809097674519743,1789630481617002496,3809097674528774,9031
49,3809097674529043,1789630481617011712,3809097674538074,9031
50,3809097674538353,1789630481617020928,3809097674547426,9073
51,3809097674547695,1789630481617031168,3809097674556734,9039
52,3809097674556988,1789630481617040384,3809097674566051,9063
53,3809097674566316,1789630481617049600,3809097674575341,9025
54,3809097674575611,1789630481617058816,3809097674584636,9025
55,3809097674584903,1789630481617068032,3809097674593944,9041
56,3809097674594211,1789630481617077248,3809097674603244,9033
57,3809097674603510,1789630481617086464,3809097674612552,9042
58,3809097674612817,1789630481617095680,3809097674621837,9020
59,3809097674622102,1789630481617104896,3809097674631151,9049
60,3809097674631415,1789630481617114112,3809097674640478,9063
61,3809097674640733,1789630481617123328,3809097674649756,9023
62,3809097674650025,1789630481617133568,3809097674659127,9102
63,3809097674659392,1789630481617142784,3809097674668417,9025
64,3809097674668678,1789630481617152000,3809097674677701,9023
65,3809097674677971,1789630481617161216,3809097674687026,9055
66,3809097674687294,1789630481617170432,3809097674696301,9007
67,3809097674696570,1789630481617179648,3809097674705601,9031
68,3809097674705871,1789630481617188864,3809097674714909,9038
69,3809097674715178,1789630481617198080,3809097674724247,9069
70,3809097674724515,1789630481617207296,3809097674733497,8982
71,3809097674733771,1789630481617216512,3809097674742794,9023
72,3809097674743063,1789630481617225728,3809097674752064,9001
73,3809097674752341,1789630481617234944,3809097674761366,9025
