pair_id,pair_order,planned_delay_us,configuration_match,treatment_run_id,treatment_run_state,treatment_configuration_match,treatment_analysis_error,treatment_entry_ns,treatment_done_ns,treatment_application_valid,treatment_trial_state,treatment_control_status,treatment_ordering_relative_to_rm,treatment_gpu_overlap,treatment_correctness_status,treatment_cleanup_verified,treatment_failure,treatment_setup_status,treatment_bg_done_before_interaction,treatment_bg_done_at_owner_check,treatment_trigger_lateness_ns,treatment_actual_delay_ns,treatment_rm_wall_ns,treatment_prepare_ns,treatment_receive_to_prepare_ns,treatment_prepare_to_rm_ns,treatment_prepare_to_action_end_ns,treatment_ipc_request_ns,treatment_ipc_roundtrip_ns,treatment_submit_ns,control_run_id,control_run_state,control_configuration_match,control_analysis_error,control_entry_ns,control_done_ns,control_application_valid,control_trial_state,control_control_status,control_ordering_relative_to_rm,control_gpu_overlap,control_correctness_status,control_cleanup_verified,control_failure,control_setup_status,control_bg_done_before_interaction,control_bg_done_at_owner_check,control_trigger_lateness_ns,control_actual_delay_ns,control_rm_wall_ns,control_prepare_ns,control_receive_to_prepare_ns,control_prepare_to_rm_ns,control_prepare_to_action_end_ns,control_ipc_request_ns,control_ipc_roundtrip_ns,control_submit_ns,complete_correct_pair,delta_entry_ns,delta_done_ns
0,TC,3255,True,phase6-20260917-a-p00-T,COMPLETE,True,,408592,666554,1,complete,CONTROL_ACCEPTED_EFFECT_UNVERIFIED,ordering_ambiguous,lifetime_overlap,PASS,True,,BG_MAIN_OBSERVED_RESIDENCY_UNKNOWN,0,0,66,3255066,474766,38475,676,1447,476264,293,516323,41599,phase6-20260917-a-p00-C,COMPLETE,True,,1132679,1387731,1,complete,SKIPPED_BY_DESIGN,not_applicable,lifetime_overlap,PASS,True,,BG_MAIN_OBSERVED_RESIDENCY_UNKNOWN,0,0,96,3255096,,47411,470,,45,163,48761,41314,True,724087,721177
1,TC,2344,True,phase6-20260917-a-p01-T,COMPLETE,True,,403284,675729,1,complete,CONTROL_ACCEPTED_EFFECT_UNVERIFIED,ordering_ambiguous,lifetime_overlap,PASS,True,,BG_MAIN_OBSERVED_RESIDENCY_UNKNOWN,0,0,86,2344086,472036,31640,291,930,473004,141,505589,24699,phase6-20260917-a-p01-C,COMPLETE,True,,2037684,2289445,1,complete,SKIPPED_BY_DESIGN,not_applicable,lifetime_overlap,PASS,True,,BG_MAIN_OBSERVED_RESIDENCY_UNKNOWN,0,0,75,2344075,,33481,219,,35,115,34502,23118,True,1634400,1613716
2,CT,4102,True,phase6-20260917-a-p02-T,COMPLETE,True,,280860,535993,1,complete,CONTROL_ACCEPTED_EFFECT_UNVERIFIED,ordering_ambiguous,lifetime_overlap,PASS,True,,BG_MAIN_OBSERVED_RESIDENCY_UNKNOWN,0,0,61,4102061,297329,35534,399,1488,298854,315,335795,38609,phase6-20260917-a-p02-C,COMPLETE,True,,280412,537595,1,complete,SKIPPED_BY_DESIGN,not_applicable,lifetime_overlap,PASS,True,,BG_MAIN_OBSERVED_RESIDENCY_UNKNOWN,0,0,85,4102085,,36593,337,,40,282,37784,39952,True,-448,1602
3,CT,4562,True,phase6-20260917-a-p03-T,COMPLETE,True,,400796,658134,1,complete,CONTROL_ACCEPTED_EFFECT_UNVERIFIED,ordering_ambiguous,lifetime_overlap,PASS,True,,BG_MAIN_OBSERVED_RESIDENCY_UNKNOWN,0,0,83,4562083,470471,36312,334,1124,471732,367,509409,40637,phase6-20260917-a-p03-C,COMPLETE,True,,1918537,2174624,1,complete,SKIPPED_BY_DESIGN,not_applicable,lifetime_overlap,PASS,True,,BG_MAIN_OBSERVED_RESIDENCY_UNKNOWN,0,0,62,4562062,,44400,255,,34,183,45251,28123,True,1517741,1516490
4,CT,3228,True,phase6-20260917-a-p04-T,COMPLETE,True,,406940,667017,1,complete,CONTROL_ACCEPTED_EFFECT_UNVERIFIED,ordering_ambiguous,lifetime_overlap,PASS,True,,BG_MAIN_OBSERVED_RESIDENCY_UNKNOWN,0,0,57,3228057,479547,37954,484,1280,480901,342,520434,39915,phase6-20260917-a-p04-C,COMPLETE,True,,1156234,1413622,1,complete,SKIPPED_BY_DESIGN,not_applicable,lifetime_overlap,PASS,True,,BG_MAIN_OBSERVED_RESIDENCY_UNKNOWN,0,0,66,3228066,,45559,370,,34,252,46669,41064,True,749294,746605
5,TC,4825,True,phase6-20260917-a-p05-T,COMPLETE,True,,422123,688843,1,complete,CONTROL_ACCEPTED_EFFECT_UNVERIFIED,ordering_ambiguous,lifetime_overlap,PASS,True,,BG_MAIN_OBSERVED_RESIDENCY_UNKNOWN,0,0,87,4825087,479718,47950,402,1853,481613,280,530908,38959,phase6-20260917-a-p05-C,COMPLETE,True,,1656571,1913889,1,complete,SKIPPED_BY_DESIGN,not_applicable,lifetime_overlap,PASS,True,,BG_MAIN_OBSERVED_RESIDENCY_UNKNOWN,0,0,76,4825076,,38076,309,,34,254,39115,38161,True,1234448,1225046
6,TC,3130,True,phase6-20260917-a-p06-T,COMPLETE,True,,409687,666499,1,complete,CONTROL_ACCEPTED_EFFECT_UNVERIFIED,ordering_ambiguous,lifetime_overlap,PASS,True,,BG_MAIN_OBSERVED_RESIDENCY_UNKNOWN,0,0,88,3130088,459804,36941,469,1652,461486,330,499766,39479,phase6-20260917-a-p06-C,COMPLETE,True,,1255725,1512696,1,complete,SKIPPED_BY_DESIGN,not_applicable,lifetime_overlap,PASS,True,,BG_MAIN_OBSERVED_RESIDENCY_UNKNOWN,0,0,84,3130084,,35145,589,,37,355,36689,40944,True,846038,846197
7,CT,1855,True,phase6-20260917-a-p07-T,COMPLETE,True,,427525,689520,1,complete,CONTROL_ACCEPTED_EFFECT_UNVERIFIED,ordering_ambiguous,lifetime_overlap,PASS,True,,BG_MAIN_OBSERVED_RESIDENCY_UNKNOWN,0,0,90,1855090,472294,47122,470,1431,473805,299,522404,39134,phase6-20260917-a-p07-C,COMPLETE,True,,433622,690868,1,complete,SKIPPED_BY_DESIGN,not_applicable,lifetime_overlap,PASS,True,,BG_MAIN_OBSERVED_RESIDENCY_UNKNOWN,0,0,56,1855056,,37778,258,,36,288,39016,41334,True,6097,1348
8,CT,3661,True,phase6-20260917-a-p08-T,COMPLETE,True,,418627,678561,1,complete,CONTROL_ACCEPTED_EFFECT_UNVERIFIED,ordering_ambiguous,lifetime_overlap,PASS,True,,BG_MAIN_OBSERVED_RESIDENCY_UNKNOWN,0,0,88,3661088,478226,46098,478,1551,479808,339,527389,40856,phase6-20260917-a-p08-C,COMPLETE,True,,723341,982310,1,complete,SKIPPED_BY_DESIGN,not_applicable,lifetime_overlap,PASS,True,,BG_MAIN_OBSERVED_RESIDENCY_UNKNOWN,0,0,92,3661092,,39486,312,,35,282,40579,39082,True,304714,303749
9,TC,1875,True,phase6-20260917-a-p09-T,COMPLETE,True,,407852,666941,1,complete,CONTROL_ACCEPTED_EFFECT_UNVERIFIED,ordering_ambiguous,lifetime_overlap,PASS,True,,BG_MAIN_OBSERVED_RESIDENCY_UNKNOWN,0,0,63,1875063,466389,38524,643,1538,467977,290,508070,41070,phase6-20260917-a-p09-C,COMPLETE,True,,413596,671240,1,complete,SKIPPED_BY_DESIGN,not_applicable,lifetime_overlap,PASS,True,,BG_MAIN_OBSERVED_RESIDENCY_UNKNOWN,0,0,82,1875082,,37072,255,,35,281,38589,39889,True,5744,4299
