sample,cpu_send_ns,gpu_ns,cpu_observed_ns,rtt_ns
0,3812336636154745,1789633720519651328,3812336636302556,147811
1,3812336636302860,1789633720519659520,3812336636309907,7047
2,3812336636310208,1789633720519667712,3812336636317309,7101
3,3812336636317606,1789633720519674880,3812336636324697,7091
4,3812336636324720,1789633720519682048,3812336636332084,7364
5,3812336636332385,1789633720519689216,3812336636339600,7215
6,3812336636339900,1789633720519697408,3812336636347014,7114
7,3812336636347315,1789633720519704576,3812336636354420,7105
8,3812336636354720,1789633720519711744,3812336636361819,7099
9,3812336636362120,1789633720519718912,3812336636369231,7111
10,3812336636369533,1789633720519727104,3812336636376644,7111
11,3812336636376940,1789633720519734272,3812336636384030,7090
12,3812336636384326,1789633720519741440,3812336636391409,7083
13,3812336636391710,1789633720519748608,3812336636398820,7110
14,3812336636399120,1789633720519755776,3812336636406211,7091
15,3812336636406497,1789633720519763968,3812336636413597,7100
16,3812336636413900,1789633720519771136,3812336636420970,7070
17,3812336636421267,1789633720519778304,3812336636428354,7087
18,3812336636428655,1789633720519785472,3812336636435750,7095
19,3812336636436050,1789633720519793664,3812336636443230,7180
20,3812336636443525,1789633720519800832,3812336636450620,7095
21,3812336636450920,1789633720519808000,3812336636458024,7104
22,3812336636458325,1789633720519815168,3812336636465414,7089
23,3812336636465710,1789633720519823360,3812336636472800,7090
24,3812336636473100,1789633720519830528,3812336636480280,7180
25,3812336636480576,1789633720519837696,3812336636487674,7098
26,3812336636487970,1789633720519844864,3812336636495081,7111
27,3812336636495383,1789633720519852032,3812336636502455,7072
28,3812336636502754,1789633720519860224,3812336636509880,7126
29,3812336636510180,1789633720519867392,3812336636517360,7180
30,3812336636517655,1789633720519874560,3812336636524744,7089
31,3812336636525045,1789633720519881728,3812336636532153,7108
32,3812336636532455,1789633720519889920,3812336636539544,7089
33,3812336636539840,1789633720519897088,3812336636546944,7104
34,3812336636547245,1789633720519904256,3812336636554413,7168
35,3812336636554715,1789633720519911424,3812336636561804,7089
36,3812336636562100,1789633720519919616,3812336636569189,7089
37,3812336636569490,1789633720519926784,3812336636576649,7159
38,3812336636576950,1789633720519933952,3812336636584002,7052
39,3812336636584303,1789633720519941120,3812336636591494,7191
40,3812336636591795,1789633720519949312,3812336636598920,7125
41,3812336636599220,1789633720519956480,3812336636606313,7093
42,3812336636606615,1789633720519963648,3812336636613724,7109
43,3812336636614025,1789633720519970816,3812336636621112,7087
44,3812336636621413,1789633720519979008,3812336636628557,7144
45,3812336636628860,1789633720519986176,3812336636635958,7098
46,3812336636636253,1789633720519993344,3812336636643337,7084
47,3812336636643633,1789633720520000512,3812336636650737,7104
48,3812336636651038,1789633720520007680,3812336636658127,7089
49,3812336636658423,1789633720520015872,3812336636665619,7196
50,3812336636665915,1789633720520023040,3812336636673007,7092
51,3812336636673303,1789633720520030208,3812336636680407,7104
52,3812336636680708,1789633720520037376,3812336636687794,7086
53,3812336636688095,1789633720520045568,3812336636695184,7089
54,3812336636695480,1789633720520052736,3812336636702724,7244
55,3812336636703025,1789633720520059904,3812336636710087,7062
56,3812336636710383,1789633720520067072,3812336636717514,7131
57,3812336636717815,1789633720520075264,3812336636724860,7045
58,3812336636725160,1789633720520082432,3812336636732271,7111
59,3812336636732576,1789633720520089600,3812336636739747,7171
60,3812336636740045,1789633720520096768,3812336636747134,7089
61,3812336636747435,1789633720520104960,3812336636754530,7095
62,3812336636754830,1789633720520112128,3812336636761920,7090
63,3812336636762216,1789633720520119296,3812336636769307,7091
64,3812336636769603,1789633720520126464,3812336636776844,7241
65,3812336636777140,1789633720520134656,3812336636784194,7054
66,3812336636784490,1789633720520141824,3812336636791609,7119
67,3812336636791910,1789633720520148992,3812336636799002,7092
68,3812336636799303,1789633720520156160,3812336636806420,7117
69,3812336636806720,1789633720520163328,3812336636813899,7179
70,3812336636814200,1789633720520171520,3812336636821290,7090
71,3812336636821588,1789633720520178688,3812336636828677,7089
72,3812336636828973,1789633720520185856,3812336636836104,7131
73,3812336636836406,1789633720520193024,3812336636843473,7067
74,3812336636843770,1789633720520201216,3812336636850950,7180
75,3812336636851250,1789633720520208384,3812336636858337,7087
76,3812336636858637,1789633720520215552,3812336636865732,7095
77,3812336636866033,1789633720520222720,3812336636873129,7096
78,3812336636873428,1789633720520230912,3812336636880522,7094
79,3812336636880820,1789633720520238080,3812336636888064,7244
80,3812336636888366,1789633720520245248,3812336636895420,7054
81,3812336636895715,1789633720520252416,3812336636902807,7092
82,3812336636903103,1789633720520260608,3812336636910207,7104
83,3812336636910508,1789633720520267776,3812336636917597,7089
84,3812336636917900,1789633720520274944,3812336636925034,7134
85,3812336636925335,1789633720520282112,3812336636932632,7297
86,3812336636932933,1789633720520290304,3812336636939920,6987
87,3812336636940220,1789633720520297472,3812336636947197,6977
88,3812336636947495,1789633720520304640,3812336636954480,6985
89,3812336636954780,1789633720520311808,3812336636961939,7159
90,3812336636962240,1789633720520318976,3812336636969202,6962
91,3812336636969503,1789633720520327168,3812336636976521,7018
92,3812336636976821,1789633720520334336,3812336636983804,6983
93,3812336636984105,1789633720520341504,3812336636991154,7049
94,3812336636991455,1789633720520348672,3812336636998474,7019
95,3812336636998775,1789633720520355840,3812336637005760,6985
96,3812336637006055,1789633720520363008,3812336637013074,7019
97,3812336637013375,1789633720520370176,3812336637020422,7047
98,3812336637020725,1789633720520378368,3812336637027774,7049
99,3812336637028076,1789633720520385536,3812336637035044,6968
100,3812336637035345,1789633720520392704,3812336637042352,7007
101,3812336637042647,1789633720520399872,3812336637049669,7022
102,3812336637049970,1789633720520407040,3812336637056977,7007
103,3812336637057273,1789633720520414208,3812336637064297,7024
104,3812336637064600,1789633720520421376,3812336637071564,6964
105,3812336637071860,1789633720520428544,3812336637078950,7090
106,3812336637079250,1789633720520436736,3812336637086231,6981
107,3812336637086533,1789633720520443904,3812336637093540,7007
108,3812336637093835,1789633720520451072,3812336637100837,7002
109,3812336637101133,1789633720520458240,3812336637108221,7088
110,3812336637108520,1789633720520465408,3812336637115504,6984
111,3812336637115805,1789633720520472576,3812336637122820,7015
112,3812336637123115,1789633720520480768,3812336637130122,7007
113,3812336637130420,1789633720520487936,3812336637137471,7051
114,3812336637137770,1789633720520495104,3812336637144782,7012
115,3812336637145083,1789633720520502272,3812336637152094,7011
116,3812336637152395,1789633720520509440,3812336637159379,6984
117,3812336637159680,1789633720520516608,3812336637166730,7050
118,3812336637167030,1789633720520523776,3812336637174074,7044
119,3812336637174370,1789633720520531968,3812336637181386,7016
120,3812336637181685,1789633720520539136,3812336637188654,6969
121,3812336637188950,1789633720520546304,3812336637195994,7044
122,3812336637196295,1789633720520553472,3812336637203284,6989
123,3812336637203586,1789633720520560640,3812336637210589,7003
124,3812336637210890,1789633720520567808,3812336637217894,7004
125,3812336637218195,1789633720520574976,3812336637225262,7067
126,3812336637225558,1789633720520583168,3812336637232560,7002
127,3812336637232856,1789633720520590336,3812336637239904,7048
128,3812336637240205,1789633720520597504,3812336637247169,6964
129,3812336637247465,1789633720520604672,3812336637254520,7055
130,3812336637254815,1789633720520611840,3812336637261822,7007
131,3812336637262120,1789633720520619008,3812336637269144,7024
