schema_version,trial,sample,gpu_ns,cpu_observed_ns
2,0,0,1789633720436281344,3812336552929972
2,0,1,1789633720436292608,3812336552940583
2,0,2,1789633720436302848,3812336552951177
2,0,3,1789633720436313088,3812336552961805
2,0,4,1789633720436324352,3812336552972429
2,0,5,1789633720436334592,3812336552983031
2,0,6,1789633720436344832,3812336552993671
2,0,7,1789633720436356096,3812336553004272
2,0,8,1789633720436366336,3812336553014895
2,0,9,1789633720436377600,3812336553025660
2,0,10,1789633720436387840,3812336553036375
2,0,11,1789633720436398080,3812336553047125
2,0,12,1789633720436409344,3812336553057748
2,0,13,1789633720436419584,3812336553068397
2,0,14,1789633720436430848,3812336553079048
2,0,15,1789633720436441088,3812336553089625
2,0,16,1789633720436452352,3812336553100223
2,0,17,1789633720436462592,3812336553110875
2,0,18,1789633720436472832,3812336553121472
2,0,19,1789633720436484096,3812336553132100
2,0,20,1789633720436494336,3812336553142765
2,0,21,1789633720436504576,3812336553153423
2,0,22,1789633720436515840,3812336553164245
2,0,23,1789633720436526080,3812336553174888
2,0,24,1789633720436537344,3812336553185595
2,0,25,1789633720436547584,3812336553196195
2,0,26,1789633720436558848,3812336553206888
2,0,27,1789633720436569088,3812336553217495
2,0,28,1789633720436579328,3812336553228135
2,0,29,1789633720436590592,3812336553238772
2,0,30,1789633720436600832,3812336553249420
2,0,31,1789633720436612096,3812336553260051
2,0,32,1789633720436622336,3812336553270685
2,0,33,1789633720436632576,3812336553281328
2,0,34,1789633720436643840,3812336553291937
2,0,35,1789633720436654080,3812336553302637
2,0,36,1789633720436664320,3812336553313135
2,0,37,1789633720436675584,3812336553323683
2,0,38,1789633720436685824,3812336553334211
2,0,39,1789633720436696064,3812336553344777
2,0,40,1789633720436707328,3812336553355288
2,0,41,1789633720436717568,3812336553365831
2,0,42,1789633720436727808,3812336553376357
2,0,43,1789633720436739072,3812336553386900
2,0,44,1789633720436749312,3812336553397375
2,0,45,1789633720436759552,3812336553407948
2,0,46,1789633720436769792,3812336553418531
2,0,47,1789633720436781056,3812336553429031
2,0,48,1789633720436791296,3812336553439532
2,0,49,1789633720436801536,3812336553450077
