sample,cpu_send_ns,gpu_ns,cpu_observed_ns,rtt_ns
0,3812343009455583,1789633726892841984,3812343009608488,152905
1,3812343009608537,1789633726892849152,3812343009615951,7414
2,3812343009616084,1789633726892857344,3812343009623347,7263
3,3812343009623479,1789633726892864512,3812343009630734,7255
4,3812343009630867,1789633726892871680,3812343009638164,7297
5,3812343009638294,1789633726892878848,3812343009645556,7262
6,3812343009645689,1789633726892887040,3812343009653021,7332
7,3812343009653154,1789633726892894208,3812343009660426,7272
8,3812343009660559,1789633726892901376,3812343009667819,7260
9,3812343009667951,1789633726892908544,3812343009675214,7263
10,3812343009675348,1789633726892916736,3812343009682620,7272
11,3812343009682751,1789633726892923904,3812343009690095,7344
12,3812343009690225,1789633726892931072,3812343009697486,7261
13,3812343009697620,1789633726892938240,3812343009704887,7267
14,3812343009705014,1789633726892946432,3812343009712307,7293
15,3812343009712439,1789633726892953600,3812343009719709,7270
16,3812343009719844,1789633726892960768,3812343009727150,7306
17,3812343009727284,1789633726892967936,3812343009734532,7248
18,3812343009734667,1789633726892976128,3812343009741941,7274
19,3812343009742074,1789633726892983296,3812343009749360,7286
20,3812343009749491,1789633726892990464,3812343009756740,7249
21,3812343009756871,1789633726892997632,3812343009764215,7344
22,3812343009764350,1789633726893005824,3812343009771604,7254
23,3812343009771734,1789633726893012992,3812343009779032,7298
24,3812343009779164,1789633726893020160,3812343009786432,7268
25,3812343009786564,1789633726893027328,3812343009793815,7251
26,3812343009793948,1789633726893034496,3812343009801276,7328
27,3812343009801407,1789633726893042688,3812343009808671,7264
28,3812343009808804,1789633726893049856,3812343009816069,7265
29,3812343009816199,1789633726893057024,3812343009823500,7301
30,3812343009823631,1789633726893064192,3812343009830887,7256
31,3812343009831017,1789633726893072384,3812343009838345,7328
32,3812343009838477,1789633726893079552,3812343009845747,7270
33,3812343009845879,1789633726893086720,3812343009853176,7297
34,3812343009853310,1789633726893093888,3812343009860584,7274
35,3812343009860717,1789633726893102080,3812343009867974,7257
36,3812343009868106,1789633726893109248,3812343009875435,7329
37,3812343009875567,1789633726893116416,3812343009882844,7277
38,3812343009882976,1789633726893123584,3812343009890239,7263
39,3812343009890370,1789633726893131776,3812343009897651,7281
40,3812343009897784,1789633726893138944,3812343009905045,7261
41,3812343009905180,1789633726893146112,3812343009912484,7304
42,3812343009912617,1789633726893153280,3812343009919880,7263
43,3812343009920011,1789633726893161472,3812343009927281,7270
44,3812343009927414,1789633726893168640,3812343009934682,7268
45,3812343009934811,1789633726893175808,3812343009942092,7281
46,3812343009942226,1789633726893182976,3812343009949558,7332
47,3812343009949690,1789633726893191168,3812343009956940,7250
48,3812343009957070,1789633726893198336,3812343009964325,7255
