sample,cpu_send_ns,gpu_ns,cpu_observed_ns,rtt_ns
0,3812340737346566,1789633724620628992,3812340737355949,9383
1,3812340737356075,1789633724620638208,3812340737364640,8565
2,3812340737364766,1789633724620647424,3812340737373356,8590
3,3812340737373482,1789633724620655616,3812340737382062,8580
4,3812340737382190,1789633724620664832,3812340737390770,8580
5,3812340737390895,1789633724620673024,3812340737399488,8593
6,3812340737399612,1789633724620682240,3812340737408267,8655
7,3812340737408392,1789633724620691456,3812340737416970,8578
8,3812340737417097,1789633724620699648,3812340737425812,8715
9,3812340737425939,1789633724620708864,3812340737434522,8583
10,3812340737434647,1789633724620717056,3812340737443410,8763
11,3812340737443536,1789633724620726272,3812340737452111,8575
12,3812340737452237,1789633724620734464,3812340737460932,8695
13,3812340737461058,1789633724620743680,3812340737469636,8578
14,3812340737469764,1789633724620751872,3812340737478508,8744
15,3812340737478635,1789633724620761088,3812340737487207,8572
16,3812340737487332,1789633724620770304,3812340737496047,8715
17,3812340737496172,1789633724620778496,3812340737504747,8575
18,3812340737504872,1789633724620787712,3812340737513604,8732
19,3812340737513730,1789633724620795904,3812340737522316,8586
20,3812340737522441,1789633724620805120,3812340737531163,8722
21,3812340737531289,1789633724620814336,3812340737539867,8578
22,3812340737539992,1789633724620822528,3812340737548717,8725
23,3812340737548841,1789633724620831744,3812340737557416,8575
24,3812340737557542,1789633724620839936,3812340737566306,8764
25,3812340737566430,1789633724620849152,3812340737575989,9559
26,3812340737576083,1789633724620857344,3812340737583835,7752
27,3812340737583962,1789633724620866560,3812340737592534,8572
28,3812340737592657,1789633724620875776,3812340737601393,8736
29,3812340737601518,1789633724620883968,3812340737610092,8574
30,3812340737610218,1789633724620893184,3812340737618977,8759
31,3812340737619104,1789633724620901376,3812340737627657,8553
32,3812340737627783,1789633724620910592,3812340737636512,8729
33,3812340737636639,1789633724620918784,3812340737645216,8577
34,3812340737645339,1789633724620928000,3812340737654071,8732
35,3812340737654197,1789633724620937216,3812340737662773,8576
36,3812340737662898,1789633724620945408,3812340737671626,8728
37,3812340737671752,1789633724620954624,3812340737680326,8574
38,3812340737680452,1789633724620962816,3812340737689197,8745
39,3812340737689322,1789633724620972032,3812340737697890,8568
40,3812340737698014,1789633724620980224,3812340737706744,8730
41,3812340737706869,1789633724620989440,3812340737715447,8578
42,3812340737715572,1789633724620998656,3812340737724298,8726
43,3812340737724423,1789633724621006848,3812340737732997,8574
44,3812340737733122,1789633724621016064,3812340737741857,8735
45,3812340737741981,1789633724621024256,3812340737750559,8578
46,3812340737750683,1789633724621033472,3812340737759406,8723
47,3812340737759533,1789633724621041664,3812340737768107,8574
48,3812340737768233,1789633724621050880,3812340737776962,8729
49,3812340737777087,1789633724621060096,3812340737785664,8577
50,3812340737785790,1789633724621068288,3812340737794523,8733
51,3812340737794647,1789633724621077504,3812340737803234,8587
52,3812340737803359,1789633724621085696,3812340737812087,8728
53,3812340737812214,1789633724621094912,3812340737820827,8613
54,3812340737820950,1789633724621103104,3812340737829636,8686
55,3812340737829763,1789633724621112320,3812340737838302,8539
56,3812340737838430,1789633724621121536,3812340737846992,8562
57,3812340737847120,1789633724621129728,3812340737855697,8577
58,3812340737855819,1789633724621137920,3812340737864397,8578
59,3812340737864523,1789633724621147136,3812340737873099,8576
60,3812340737873222,1789633724621156352,3812340737881793,8571
61,3812340737881919,1789633724621164544,3812340737890487,8568
62,3812340737890610,1789633724621173760,3812340737899297,8687
63,3812340737899421,1789633724621181952,3812340737907986,8565
64,3812340737908112,1789633724621191168,3812340737916687,8575
65,3812340737916812,1789633724621199360,3812340737925386,8574
66,3812340737925512,1789633724621208576,3812340737934087,8575
67,3812340737934212,1789633724621216768,3812340737942787,8575
68,3812340737942912,1789633724621225984,3812340737951487,8575
69,3812340737951612,1789633724621234176,3812340737960347,8735
70,3812340737960475,1789633724621243392,3812340737969047,8572
71,3812340737969174,1789633724621251584,3812340737977906,8732
72,3812340737978030,1789633724621260800,3812340737986614,8584
73,3812340737986739,1789633724621268992,3812340737995482,8743
74,3812340737995607,1789633724621278208,3812340738004194,8587
75,3812340738004319,1789633724621287424,3812340738013013,8694
76,3812340738013137,1789633724621295616,3812340738021716,8579
77,3812340738021843,1789633724621304832,3812340738030590,8747
78,3812340738030717,1789633724621313024,3812340738039277,8560
79,3812340738039401,1789633724621322240,3812340738047956,8555
80,3812340738048082,1789633724621330432,3812340738056847,8765
81,3812340738056972,1789633724621339648,3812340738065686,8714
82,3812340738065810,1789633724621348864,3812340738074387,8577
83,3812340738074512,1789633724621357056,3812340738083245,8733
84,3812340738083370,1789633724621366272,3812340738092019,8649
85,3812340738092143,1789633724621374464,3812340738100802,8659
86,3812340738100930,1789633724621383680,3812340738109507,8577
