sample,cpu_send_ns,gpu_ns,cpu_observed_ns,rtt_ns
0,3812344536135325,1789633728419347456,3812344536142455,7130
1,3812344536142527,1789633728419355648,3812344536149785,7258
2,3812344536149859,1789633728419362816,3812344536157130,7271
3,3812344536157199,1789633728419369984,3812344536164543,7344
4,3812344536164613,1789633728419377152,3812344536171890,7277
5,3812344536171959,1789633728419385344,3812344536179252,7293
6,3812344536179326,1789633728419392512,3812344536186607,7281
7,3812344536186683,1789633728419399680,3812344536193943,7260
8,3812344536194013,1789633728419406848,3812344536201300,7287
9,3812344536201376,1789633728419414016,3812344536208667,7291
10,3812344536208743,1789633728419421184,3812344536216001,7258
11,3812344536216076,1789633728419429376,3812344536223361,7285
12,3812344536223437,1789633728419436544,3812344536230769,7332
13,3812344536230839,1789633728419443712,3812344536238143,7304
14,3812344536238213,1789633728419450880,3812344536245547,7334
15,3812344536245624,1789633728419458048,3812344536252885,7261
16,3812344536252960,1789633728419466240,3812344536260256,7296
17,3812344536260333,1789633728419473408,3812344536267610,7277
18,3812344536267679,1789633728419480576,3812344536274970,7291
19,3812344536275039,1789633728419487744,3812344536282330,7291
20,3812344536282400,1789633728419494912,3812344536289696,7296
21,3812344536289773,1789633728419503104,3812344536297081,7308
22,3812344536297157,1789633728419510272,3812344536304407,7250
23,3812344536304483,1789633728419517440,3812344536311816,7333
24,3812344536311897,1789633728419524608,3812344536319190,7293
25,3812344536319266,1789633728419531776,3812344536326540,7274
26,3812344536326617,1789633728419539968,3812344536333906,7289
27,3812344536333983,1789633728419547136,3812344536341270,7287
28,3812344536341346,1789633728419554304,3812344536348605,7259
29,3812344536348680,1789633728419561472,3812344536355939,7259
30,3812344536356012,1789633728419568640,3812344536363438,7426
31,3812344536363516,1789633728419576832,3812344536370790,7274
32,3812344536370866,1789633728419584000,3812344536378143,7277
33,3812344536378213,1789633728419591168,3812344536385570,7357
34,3812344536385639,1789633728419598336,3812344536392929,7290
35,3812344536393000,1789633728419605504,3812344536400270,7270
36,3812344536400339,1789633728419613696,3812344536407623,7284
37,3812344536407693,1789633728419620864,3812344536414976,7283
38,3812344536415053,1789633728419628032,3812344536422312,7259
39,3812344536422386,1789633728419635200,3812344536429750,7364
40,3812344536429826,1789633728419642368,3812344536437112,7286
41,3812344536437186,1789633728419650560,3812344536444503,7317
42,3812344536444573,1789633728419657728,3812344536451850,7277
43,3812344536451920,1789633728419664896,3812344536459203,7283
44,3812344536459272,1789633728419672064,3812344536466563,7291
45,3812344536466633,1789633728419679232,3812344536473903,7270
46,3812344536473972,1789633728419686400,3812344536481252,7280
47,3812344536481326,1789633728419694592,3812344536488610,7284
48,3812344536488679,1789633728419701760,3812344536496080,7401
49,3812344536496158,1789633728419708928,3812344536503496,7338
50,3812344536503566,1789633728419716096,3812344536510812,7246
51,3812344536510886,1789633728419724288,3812344536518170,7284
52,3812344536518240,1789633728419731456,3812344536525565,7325
53,3812344536525639,1789633728419738624,3812344536532910,7271
54,3812344536532979,1789633728419745792,3812344536540270,7291
55,3812344536540339,1789633728419752960,3812344536547630,7291
56,3812344536547699,1789633728419760128,3812344536554990,7291
57,3812344536555060,1789633728419768320,3812344536562402,7342
58,3812344536562472,1789633728419775488,3812344536569730,7258
59,3812344536569799,1789633728419782656,3812344536577090,7291
60,3812344536577159,1789633728419789824,3812344536584452,7293
61,3812344536584526,1789633728419796992,3812344536591812,7286
62,3812344536591886,1789633728419805184,3812344536599181,7295
63,3812344536599256,1789633728419812352,3812344536606530,7274
64,3812344536606600,1789633728419819520,3812344536613901,7301
65,3812344536613977,1789633728419826688,3812344536621239,7262
66,3812344536621317,1789633728419833856,3812344536628770,7453
67,3812344536628840,1789633728419842048,3812344536636127,7287
68,3812344536636199,1789633728419849216,3812344536643499,7300
69,3812344536643572,1789633728419856384,3812344536650850,7278
70,3812344536650919,1789633728419863552,3812344536658210,7291
71,3812344536658280,1789633728419870720,3812344536665579,7299
72,3812344536665653,1789633728419878912,3812344536672930,7277
73,3812344536673000,1789633728419886080,3812344536680290,7290
74,3812344536680360,1789633728419893248,3812344536687653,7293
75,3812344536687730,1789633728419900416,3812344536695060,7330
76,3812344536695132,1789633728419907584,3812344536702410,7278
77,3812344536702480,1789633728419915776,3812344536709770,7290
78,3812344536709839,1789633728419922944,3812344536717123,7284
79,3812344536717192,1789633728419930112,3812344536724496,7304
80,3812344536724573,1789633728419937280,3812344536731832,7259
81,3812344536731906,1789633728419944448,3812344536739185,7279
82,3812344536739259,1789633728419952640,3812344536746553,7294
83,3812344536746630,1789633728419959808,3812344536753910,7280
84,3812344536753986,1789633728419966976,3812344536761403,7417
85,3812344536761480,1789633728419974144,3812344536768752,7272
86,3812344536768826,1789633728419981312,3812344536776123,7297
87,3812344536776200,1789633728419989504,3812344536783498,7298
88,3812344536783573,1789633728419996672,3812344536790840,7267
89,3812344536790916,1789633728420003840,3812344536798214,7298
90,3812344536798290,1789633728420011008,3812344536805574,7284
91,3812344536805650,1789633728420018176,3812344536812920,7270
92,3812344536812998,1789633728420026368,3812344536820256,7258
93,3812344536820332,1789633728420033536,3812344536827716,7384
94,3812344536827786,1789633728420040704,3812344536835070,7284
95,3812344536835140,1789633728420047872,3812344536842419,7279
96,3812344536842493,1789633728420055040,3812344536849770,7277
97,3812344536849840,1789633728420063232,3812344536857163,7323
98,3812344536857240,1789633728420070400,3812344536864563,7323
99,3812344536864633,1789633728420077568,3812344536871912,7279
100,3812344536871986,1789633728420084736,3812344536879274,7288
101,3812344536879350,1789633728420091904,3812344536886630,7280
102,3812344536886706,1789633728420100096,3812344536894049,7343
103,3812344536894119,1789633728420107264,3812344536901383,7264
104,3812344536901453,1789633728420114432,3812344536908747,7294
105,3812344536908823,1789633728420121600,3812344536916096,7273
106,3812344536916172,1789633728420128768,3812344536923467,7295
107,3812344536923543,1789633728420136960,3812344536930761,7218
108,3812344536930837,1789633728420144128,3812344536938080,7243
109,3812344536938156,1789633728420151296,3812344536945389,7233
110,3812344536945459,1789633728420158464,3812344536952692,7233
111,3812344536952765,1789633728420165632,3812344536959972,7207
112,3812344536960050,1789633728420172800,3812344536967307,7257
113,3812344536967384,1789633728420179968,3812344536974592,7208
114,3812344536974666,1789633728420187136,3812344536981943,7277
115,3812344536982013,1789633728420195328,3812344536989243,7230
116,3812344536989319,1789633728420202496,3812344536996578,7259
117,3812344536996653,1789633728420209664,3812344537003860,7207
118,3812344537003933,1789633728420216832,3812344537011180,7247
119,3812344537011257,1789633728420224000,3812344537018469,7212
120,3812344537018547,1789633728420231168,3812344537025754,7207
121,3812344537025830,1789633728420238336,3812344537033063,7233
122,3812344537033133,1789633728420246528,3812344537040438,7305
123,3812344537040516,1789633728420253696,3812344537047749,7233
124,3812344537047826,1789633728420260864,3812344537055083,7257
125,3812344537055159,1789633728420268032,3812344537062370,7211
126,3812344537062439,1789633728420275200,3812344537069698,7259
127,3812344537069773,1789633728420282368,3812344537077003,7230
128,3812344537077079,1789633728420289536,3812344537084329,7250
129,3812344537084399,1789633728420297728,3812344537091629,7230
130,3812344537091699,1789633728420304896,3812344537098958,7259
131,3812344537099033,1789633728420312064,3812344537106286,7253
132,3812344537106359,1789633728420319232,3812344537113593,7234
133,3812344537113666,1789633728420326400,3812344537120900,7234
134,3812344537120976,1789633728420333568,3812344537128223,7247
135,3812344537128293,1789633728420340736,3812344537135536,7243
136,3812344537135613,1789633728420348928,3812344537142849,7236
137,3812344537142921,1789633728420356096,3812344537150129,7208
138,3812344537150199,1789633728420363264,3812344537157492,7293
139,3812344537157566,1789633728420370432,3812344537164812,7246
140,3812344537164886,1789633728420377600,3812344537172123,7237
141,3812344537172199,1789633728420384768,3812344537179409,7210
142,3812344537179479,1789633728420391936,3812344537186752,7273
143,3812344537186826,1789633728420400128,3812344537194083,7257
144,3812344537194159,1789633728420407296,3812344537201409,7250
145,3812344537201479,1789633728420414464,3812344537208739,7260
146,3812344537208813,1789633728420421632,3812344537216020,7207
147,3812344537216096,1789633728420428800,3812344537223312,7216
148,3812344537223386,1789633728420435968,3812344537230640,7254
149,3812344537230717,1789633728420443136,3812344537237927,7210
150,3812344537237999,1789633728420451328,3812344537245282,7283
151,3812344537245357,1789633728420458496,3812344537252589,7232
152,3812344537252659,1789633728420465664,3812344537259909,7250
153,3812344537259986,1789633728420472832,3812344537267200,7214
154,3812344537267276,1789633728420480000,3812344537274529,7253
155,3812344537274599,1789633728420487168,3812344537281838,7239
156,3812344537281916,1789633728420494336,3812344537289149,7233
157,3812344537289226,1789633728420502528,3812344537296446,7220
158,3812344537296519,1789633728420509696,3812344537303810,7291
159,3812344537303879,1789633728420516864,3812344537311112,7233
160,3812344537311186,1789633728420524032,3812344537318445,7259
161,3812344537318519,1789633728420531200,3812344537325729,7210
162,3812344537325799,1789633728420538368,3812344537333059,7260
163,3812344537333133,1789633728420545536,3812344537340369,7236
164,3812344537340439,1789633728420553728,3812344537347723,7284
165,3812344537347799,1789633728420560896,3812344537355009,7210
166,3812344537355083,1789633728420568064,3812344537362334,7251
167,3812344537362410,1789633728420575232,3812344537369623,7213
168,3812344537369693,1789633728420582400,3812344537376947,7254
169,3812344537377023,1789633728420589568,3812344537384234,7211
170,3812344537384310,1789633728420596736,3812344537391607,7297
171,3812344537391683,1789633728420604928,3812344537398899,7216
172,3812344537398973,1789633728420612096,3812344537406236,7263
173,3812344537406306,1789633728420619264,3812344537413512,7206
174,3812344537413586,1789633728420626432,3812344537420883,7297
175,3812344537420959,1789633728420633600,3812344537428179,7220
176,3812344537428252,1789633728420640768,3812344537435536,7284
177,3812344537435613,1789633728420648960,3812344537442827,7214
178,3812344537442903,1789633728420656128,3812344537450101,7198
179,3812344537450176,1789633728420663296,3812344537457429,7253
180,3812344537457506,1789633728420670464,3812344537464733,7227
181,3812344537464810,1789633728420677632,3812344537472054,7244
182,3812344537472130,1789633728420684800,3812344537479369,7239
183,3812344537479439,1789633728420691968,3812344537486689,7250
184,3812344537486759,1789633728420700160,3812344537494005,7246
185,3812344537494079,1789633728420707328,3812344537501309,7230
186,3812344537501379,1789633728420714496,3812344537508632,7253
187,3812344537508706,1789633728420721664,3812344537515952,7246
188,3812344537516026,1789633728420728832,3812344537523276,7250
189,3812344537523346,1789633728420736000,3812344537530581,7235
190,3812344537530657,1789633728420743168,3812344537537903,7246
191,3812344537537973,1789633728420751360,3812344537545209,7236
192,3812344537545279,1789633728420758528,3812344537552525,7246
193,3812344537552599,1789633728420765696,3812344537559846,7247
194,3812344537559919,1789633728420772864,3812344537567163,7244
195,3812344537567239,1789633728420780032,3812344537574489,7250
196,3812344537574564,1789633728420787200,3812344537581829,7265
197,3812344537581904,1789633728420794368,3812344537589133,7229
