sample,cpu_send_ns,gpu_ns,cpu_observed_ns,rtt_ns
0,3812347005069193,1789633730888379392,3812347005219324,150131
1,3812347005219403,1789633730888386560,3812347005226815,7412
2,3812347005226893,1789633730888394752,3812347005234312,7419
3,3812347005234389,1789633730888401920,3812347005241827,7438
4,3812347005241903,1789633730888409088,3812347005249328,7425
5,3812347005249403,1789633730888417280,3812347005256828,7425
6,3812347005256903,1789633730888424448,3812347005264340,7437
7,3812347005264411,1789633730888431616,3812347005271848,7437
8,3812347005271919,1789633730888439808,3812347005279345,7426
9,3812347005279423,1789633730888446976,3812347005286848,7425
10,3812347005286918,1789633730888454144,3812347005294345,7427
11,3812347005294424,1789633730888462336,3812347005301848,7424
12,3812347005301918,1789633730888469504,3812347005309342,7424
13,3812347005309423,1789633730888476672,3812347005316847,7424
14,3812347005316919,1789633730888484864,3812347005324360,7441
15,3812347005324439,1789633730888492032,3812347005331858,7419
16,3812347005331934,1789633730888499200,3812347005339335,7401
17,3812347005339411,1789633730888507392,3812347005346818,7407
18,3812347005346902,1789633730888514560,3812347005354305,7403
19,3812347005354373,1789633730888521728,3812347005361797,7424
20,3812347005361873,1789633730888529920,3812347005369357,7484
21,3812347005369433,1789633730888537088,3812347005376839,7406
22,3812347005376911,1789633730888544256,3812347005384347,7436
23,3812347005384423,1789633730888552448,3812347005391827,7404
24,3812347005391904,1789633730888559616,3812347005399330,7426
25,3812347005399409,1789633730888566784,3812347005406798,7389
26,3812347005406873,1789633730888574976,3812347005414279,7406
27,3812347005414350,1789633730888582144,3812347005421907,7557
28,3812347005421979,1789633730888589312,3812347005429408,7429
29,3812347005429478,1789633730888597504,3812347005436889,7411
30,3812347005436969,1789633730888604672,3812347005444370,7401
31,3812347005444441,1789633730888611840,3812347005451872,7431
32,3812347005451949,1789633730888620032,3812347005459390,7441
33,3812347005459463,1789633730888627200,3812347005466905,7442
34,3812347005466984,1789633730888634368,3812347005474412,7428
35,3812347005474491,1789633730888642560,3812347005481890,7399
36,3812347005481964,1789633730888649728,3812347005489329,7365
37,3812347005489403,1789633730888656896,3812347005496840,7437
38,3812347005496911,1789633730888664064,3812347005504272,7361
39,3812347005504343,1789633730888672256,3812347005511742,7399
40,3812347005511822,1789633730888679424,3812347005519198,7376
41,3812347005519268,1789633730888686592,3812347005526670,7402
42,3812347005526751,1789633730888694784,3812347005534130,7379
43,3812347005534201,1789633730888701952,3812347005541587,7386
44,3812347005541663,1789633730888709120,3812347005549015,7352
45,3812347005549093,1789633730888716288,3812347005556628,7535
46,3812347005556709,1789633730888724480,3812347005564069,7360
47,3812347005564142,1789633730888731648,3812347005571545,7403
48,3812347005571624,1789633730888738816,3812347005578980,7356
49,3812347005579051,1789633730888747008,3812347005588241,9190
50,3812347005588446,1789633730888755200,3812347005595325,6879
51,3812347005595401,1789633730888763392,3812347005602757,7356
52,3812347005602833,1789633730888770560,3812347005610215,7382
53,3812347005610293,1789633730888777728,3812347005617723,7430
54,3812347005617801,1789633730888785920,3812347005625155,7354
55,3812347005625233,1789633730888793088,3812347005632697,7464
56,3812347005632773,1789633730888800256,3812347005640135,7362
57,3812347005640205,1789633730888807424,3812347005647625,7420
58,3812347005647694,1789633730888815616,3812347005655095,7401
59,3812347005655173,1789633730888822784,3812347005662532,7359
60,3812347005662609,1789633730888829952,3812347005669945,7336
61,3812347005670023,1789633730888838144,3812347005677468,7445
62,3812347005677539,1789633730888845312,3812347005684890,7351
63,3812347005684971,1789633730888852480,3812347005692345,7374
64,3812347005692422,1789633730888859648,3812347005699805,7383
65,3812347005699875,1789633730888867840,3812347005707268,7393
66,3812347005707351,1789633730888875008,3812347005714700,7349
67,3812347005714771,1789633730888882176,3812347005722325,7554
68,3812347005722403,1789633730888890368,3812347005729760,7357
69,3812347005729831,1789633730888897536,3812347005737228,7397
70,3812347005737306,1789633730888904704,3812347005744708,7402
71,3812347005744778,1789633730888912896,3812347005752133,7355
72,3812347005752204,1789633730888920064,3812347005759555,7351
73,3812347005759633,1789633730888927232,3812347005766990,7357
74,3812347005767062,1789633730888934400,3812347005774465,7403
75,3812347005774543,1789633730888942592,3812347005781908,7365
76,3812347005781978,1789633730888949760,3812347005789358,7380
77,3812347005789433,1789633730888956928,3812347005796798,7365
78,3812347005796874,1789633730888964096,3812347005804365,7491
79,3812347005804441,1789633730888972288,3812347005811815,7374
80,3812347005811893,1789633730888979456,3812347005819295,7402
81,3812347005819365,1789633730888986624,3812347005826768,7403
82,3812347005826848,1789633730888994816,3812347005834225,7377
83,3812347005834303,1789633730889001984,3812347005841713,7410
84,3812347005841783,1789633730889009152,3812347005849225,7442
85,3812347005849303,1789633730889017344,3812347005856688,7385
86,3812347005856766,1789633730889024512,3812347005864117,7351
87,3812347005864198,1789633730889031680,3812347005871590,7392
88,3812347005871668,1789633730889038848,3812347005879027,7359
89,3812347005879103,1789633730889047040,3812347005886450,7347
90,3812347005886521,1789633730889054208,3812347005894010,7489
91,3812347005894081,1789633730889061376,3812347005901510,7429
92,3812347005901582,1789633730889069568,3812347005908968,7386
93,3812347005909048,1789633730889076736,3812347005916438,7390
94,3812347005916513,1789633730889083904,3812347005923865,7352
95,3812347005923943,1789633730889091072,3812347005931297,7354
96,3812347005931375,1789633730889099264,3812347005938870,7495
97,3812347005938951,1789633730889106432,3812347005946305,7354
98,3812347005946383,1789633730889113600,3812347005953748,7365
99,3812347005953818,1789633730889121792,3812347005961215,7397
100,3812347005961293,1789633730889128960,3812347005968668,7375
101,3812347005968748,1789633730889136128,3812347005976088,7340
102,3812347005976165,1789633730889143296,3812347005983522,7357
103,3812347005983593,1789633730889151488,3812347005990975,7382
104,3812347005991053,1789633730889158656,3812347005998445,7392
105,3812347005998524,1789633730889165824,3812347006005890,7366
106,3812347006005971,1789633730889174016,3812347006013412,7441
107,3812347006013488,1789633730889181184,3812347006020899,7411
108,3812347006020979,1789633730889188352,3812347006028343,7364
109,3812347006028419,1789633730889196544,3812347006035800,7381
110,3812347006035881,1789633730889203712,3812347006043278,7397
111,3812347006043353,1789633730889210880,3812347006050707,7354
112,3812347006050778,1789633730889218048,3812347006058140,7362
113,3812347006058211,1789633730889226240,3812347006065688,7477
114,3812347006065764,1789633730889233408,3812347006073162,7398
115,3812347006073233,1789633730889240576,3812347006080615,7382
116,3812347006080693,1789633730889248768,3812347006088092,7399
117,3812347006088165,1789633730889255936,3812347006095528,7363
118,3812347006095598,1789633730889263104,3812347006102955,7357
119,3812347006103031,1789633730889270272,3812347006110558,7527
120,3812347006110628,1789633730889278464,3812347006118027,7399
121,3812347006118098,1789633730889285632,3812347006125498,7400
122,3812347006125568,1789633730889292800,3812347006132965,7397
123,3812347006133043,1789633730889300992,3812347006140388,7345
124,3812347006140463,1789633730889308160,3812347006147840,7377
125,3812347006147911,1789633730889315328,3812347006155418,7507
126,3812347006155498,1789633730889323520,3812347006162854,7356
127,3812347006162925,1789633730889330688,3812347006170312,7387
128,3812347006170388,1789633730889337856,3812347006177768,7380
129,3812347006177848,1789633730889345024,3812347006185202,7354
130,3812347006185281,1789633730889353216,3812347006192657,7376
131,3812347006192735,1789633730889360384,3812347006200315,7580
132,3812347006200393,1789633730889367552,3812347006207768,7375
133,3812347006207848,1789633730889375744,3812347006215198,7350
134,3812347006215268,1789633730889382912,3812347006222665,7397
135,3812347006222743,1789633730889390080,3812347006230105,7362
136,3812347006230183,1789633730889398272,3812347006237540,7357
137,3812347006237611,1789633730889405440,3812347006245150,7539
138,3812347006245228,1789633730889412608,3812347006252582,7354
139,3812347006252662,1789633730889419776,3812347006260058,7396
140,3812347006260133,1789633730889427968,3812347006267528,7395
141,3812347006267603,1789633730889435136,3812347006274985,7382
142,3812347006275063,1789633730889442304,3812347006282418,7355
143,3812347006282491,1789633730889450496,3812347006290028,7537
144,3812347006290103,1789633730889457664,3812347006297465,7362
145,3812347006297536,1789633730889464832,3812347006304940,7404
146,3812347006305018,1789633730889473024,3812347006312410,7392
147,3812347006312488,1789633730889480192,3812347006319798,7310
148,3812347006319875,1789633730889487360,3812347006327233,7358
