sample,cpu_send_ns,gpu_ns,cpu_observed_ns,rtt_ns
0,3812353518579256,1789633737401625600,3812353518586136,6880
1,3812353518586246,1789633737401633792,3812353518593869,7623
2,3812353518593976,1789633737401641984,3812353518601629,7653
3,3812353518601728,1789633737401649152,3812353518609371,7643
4,3812353518609481,1789633737401657344,3812353518617129,7648
5,3812353518617236,1789633737401664512,3812353518624876,7640
6,3812353518624983,1789633737401672704,3812353518632629,7646
7,3812353518632736,1789633737401680896,3812353518640376,7640
8,3812353518640483,1789633737401688064,3812353518648124,7641
9,3812353518648232,1789633737401696256,3812353518655879,7647
10,3812353518655986,1789633737401703424,3812353518663626,7640
11,3812353518663733,1789633737401711616,3812353518671399,7666
12,3812353518671506,1789633737401718784,3812353518679153,7647
13,3812353518679261,1789633737401726976,3812353518686904,7643
14,3812353518687004,1789633737401735168,3812353518694676,7672
15,3812353518694783,1789633737401742336,3812353518702469,7686
16,3812353518702576,1789633737401750528,3812353518710216,7640
17,3812353518710324,1789633737401757696,3812353518717969,7645
18,3812353518718069,1789633737401765888,3812353518725726,7657
19,3812353518725833,1789633737401773056,3812353518733466,7633
20,3812353518733573,1789633737401781248,3812353518741236,7663
21,3812353518741343,1789633737401789440,3812353518749071,7728
22,3812353518749181,1789633737401796608,3812353518756853,7672
23,3812353518756961,1789633737401804800,3812353518764607,7646
24,3812353518764713,1789633737401811968,3812353518772400,7687
25,3812353518772506,1789633737401820160,3812353518780229,7723
26,3812353518780336,1789633737401828352,3812353518788049,7713
27,3812353518788149,1789633737401835520,3812353518795833,7684
28,3812353518795933,1789633737401843712,3812353518803639,7706
29,3812353518803746,1789633737401851904,3812353518811452,7706
30,3812353518811558,1789633737401859072,3812353518819193,7635
31,3812353518819301,1789633737401867264,3812353518826989,7688
32,3812353518827089,1789633737401874432,3812353518834791,7702
33,3812353518834899,1789633737401882624,3812353518842586,7687
34,3812353518842693,1789633737401890816,3812353518850361,7668
35,3812353518850469,1789633737401897984,3812353518858089,7620
36,3812353518858196,1789633737401906176,3812353518865924,7728
37,3812353518866031,1789633737401913344,3812353518873711,7680
38,3812353518873818,1789633737401921536,3812353518881539,7721
