sample,cpu_send_ns,gpu_ns,cpu_observed_ns,rtt_ns
0,3812355665752649,1789633739548760064,3812355665759821,7172
1,3812355665759893,1789633739548768256,3812355665767728,7835
2,3812355665767805,1789633739548776448,3812355665775593,7788
3,3812355665775660,1789633739548783616,3812355665783420,7760
4,3812355665783492,1789633739548791808,3812355665791283,7791
5,3812355665791365,1789633739548800000,3812355665799113,7748
6,3812355665799183,1789633739548807168,3812355665806933,7750
7,3812355665807012,1789633739548815360,3812355665814798,7786
8,3812355665814872,1789633739548823552,3812355665822643,7771
9,3812355665822723,1789633739548830720,3812355665830511,7788
10,3812355665830590,1789633739548838912,3812355665838373,7783
11,3812355665838445,1789633739548847104,3812355665846225,7780
12,3812355665846298,1789633739548854272,3812355665854085,7787
13,3812355665854158,1789633739548862464,3812355665861948,7790
14,3812355665862025,1789633739548870656,3812355665869813,7788
15,3812355665869890,1789633739548877824,3812355665877640,7750
16,3812355665877720,1789633739548886016,3812355665885503,7783
17,3812355665885575,1789633739548894208,3812355665893340,7765
18,3812355665893412,1789633739548901376,3812355665901201,7789
19,3812355665901281,1789633739548909568,3812355665909051,7770
20,3812355665909131,1789633739548917760,3812355665916883,7752
21,3812355665916962,1789633739548924928,3812355665924744,7782
22,3812355665924815,1789633739548933120,3812355665932558,7743
23,3812355665932638,1789633739548941312,3812355665940430,7792
24,3812355665940510,1789633739548948480,3812355665948298,7788
25,3812355665948373,1789633739548956672,3812355665956158,7785
26,3812355665956232,1789633739548964864,3812355665963976,7744
27,3812355665964048,1789633739548972032,3812355665971843,7795
28,3812355665971915,1789633739548980224,3812355665979703,7788
29,3812355665979775,1789633739548988416,3812355665987543,7768
30,3812355665987621,1789633739548995584,3812355665995373,7752
31,3812355665995451,1789633739549003776,3812355666003241,7790
32,3812355666003320,1789633739549011968,3812355666011169,7849
33,3812355666011245,1789633739549019136,3812355666019181,7936
34,3812355666019261,1789633739549027328,3812355666027005,7744
35,3812355666027079,1789633739549035520,3812355666034865,7786
36,3812355666034938,1789633739549042688,3812355666042803,7865
37,3812355666042880,1789633739549050880,3812355666050665,7785
38,3812355666050745,1789633739549059072,3812355666058491,7746
39,3812355666058563,1789633739549066240,3812355666066355,7792
40,3812355666066435,1789633739549074432,3812355666074203,7768
41,3812355666074275,1789633739549082624,3812355666082068,7793
42,3812355666082142,1789633739549090816,3812355666089931,7789
43,3812355666090003,1789633739549097984,3812355666097783,7780
44,3812355666097862,1789633739549106176,3812355666105611,7749
45,3812355666105690,1789633739549114368,3812355666113458,7768
46,3812355666113538,1789633739549121536,3812355666121285,7747
47,3812355666121365,1789633739549129728,3812355666129135,7770
48,3812355666129213,1789633739549136896,3812355666136980,7767
49,3812355666137058,1789633739549145088,3812355666144845,7787
50,3812355666144920,1789633739549153280,3812355666152683,7763
51,3812355666152765,1789633739549160448,3812355666160546,7781
52,3812355666160622,1789633739549168640,3812355666168411,7789
53,3812355666168483,1789633739549176832,3812355666176265,7782
54,3812355666176343,1789633739549185024,3812355666184131,7788
55,3812355666184202,1789633739549192192,3812355666191991,7789
56,3812355666192063,1789633739549200384,3812355666199833,7770
57,3812355666199908,1789633739549208576,3812355666207673,7765
58,3812355666207745,1789633739549215744,3812355666215531,7786
59,3812355666215610,1789633739549223936,3812355666223341,7731
60,3812355666223413,1789633739549231104,3812355666231202,7789
61,3812355666231272,1789633739549239296,3812355666239059,7787
62,3812355666239132,1789633739549247488,3812355666246921,7789
63,3812355666246992,1789633739549255680,3812355666254758,7766
64,3812355666254838,1789633739549262848,3812355666262625,7787
65,3812355666262698,1789633739549271040,3812355666270485,7787
66,3812355666270558,1789633739549279232,3812355666278353,7795
67,3812355666278425,1789633739549286400,3812355666286205,7780
68,3812355666286278,1789633739549294592,3812355666294068,7790
69,3812355666294145,1789633739549302784,3812355666302015,7870
70,3812355666302088,1789633739549309952,3812355666309880,7792
71,3812355666309960,1789633739549318144,3812355666317748,7788
72,3812355666317823,1789633739549326336,3812355666325618,7795
73,3812355666325690,1789633739549333504,3812355666333433,7743
74,3812355666333513,1789633739549341696,3812355666341223,7710
75,3812355666341302,1789633739549349888,3812355666349043,7741
76,3812355666349120,1789633739549357056,3812355666356825,7705
77,3812355666356898,1789633739549365248,3812355666364641,7743
78,3812355666364713,1789633739549372416,3812355666372438,7725
79,3812355666372513,1789633739549380608,3812355666380261,7748
80,3812355666380341,1789633739549388800,3812355666388045,7704
81,3812355666388125,1789633739549395968,3812355666395868,7743
82,3812355666395943,1789633739549404160,3812355666403648,7705
83,3812355666403720,1789633739549412352,3812355666411466,7746
84,3812355666411543,1789633739549419520,3812355666419243,7700
85,3812355666419313,1789633739549427712,3812355666427062,7749
86,3812355666427141,1789633739549434880,3812355666434871,7730
87,3812355666434943,1789633739549443072,3812355666442691,7748
88,3812355666442771,1789633739549451264,3812355666450473,7702
89,3812355666450551,1789633739549458432,3812355666458291,7740
90,3812355666458371,1789633739549466624,3812355666466070,7699
91,3812355666466142,1789633739549474816,3812355666473891,7749
92,3812355666473965,1789633739549481984,3812355666481708,7743
93,3812355666481788,1789633739549490176,3812355666489493,7705
94,3812355666489565,1789633739549497344,3812355666497291,7726
95,3812355666497371,1789633739549505536,3812355666505095,7724
96,3812355666505172,1789633739549513728,3812355666512901,7729
97,3812355666512973,1789633739549520896,3812355666520718,7745
98,3812355666520795,1789633739549529088,3812355666528463,7668
99,3812355666528535,1789633739549536256,3812355666536321,7786
100,3812355666536401,1789633739549544448,3812355666544105,7704
101,3812355666544185,1789633739549552640,3812355666551952,7767
102,3812355666552025,1789633739549559808,3812355666559821,7796
103,3812355666559893,1789633739549568000,3812355666567683,7790
104,3812355666567765,1789633739549576192,3812355666575511,7746
105,3812355666575582,1789633739549583360,3812355666583371,7789
106,3812355666583443,1789633739549591552,3812355666591240,7797
107,3812355666591320,1789633739549599744,3812355666599101,7781
108,3812355666599178,1789633739549606912,3812355666606965,7787
109,3812355666607043,1789633739549615104,3812355666614791,7748
110,3812355666614868,1789633739549623296,3812355666622656,7788
111,3812355666622728,1789633739549630464,3812355666630498,7770
112,3812355666630573,1789633739549638656,3812355666638361,7788
113,3812355666638433,1789633739549646848,3812355666646198,7765
114,3812355666646275,1789633739549654016,3812355666654056,7781
115,3812355666654135,1789633739549662208,3812355666661906,7771
116,3812355666661981,1789633739549670400,3812355666669771,7790
117,3812355666669842,1789633739549677568,3812355666677625,7783
118,3812355666677695,1789633739549685760,3812355666685463,7768
119,3812355666685541,1789633739549693952,3812355666693308,7767
120,3812355666693390,1789633739549701120,3812355666701175,7785
