sample,cpu_send_ns,gpu_ns,cpu_observed_ns,rtt_ns
0,3812377397441905,1789633761280184320,3812377397588762,146857
1,3812377397588845,1789633761280192512,3812377397596509,7664
2,3812377397596590,1789633761280199680,3812377397604258,7668
3,3812377397604340,1789633761280207872,3812377397612018,7678
4,3812377397612041,1789633761280216064,3812377397619782,7741
5,3812377397619865,1789633761280223232,3812377397635399,15534
6,3812377397635470,1789633761280238592,3812377397642659,7189
7,3812377397642740,1789633761280246784,3812377397650373,7633
8,3812377397650445,1789633761280253952,3812377397658134,7689
9,3812377397658208,1789633761280262144,3812377397665889,7681
10,3812377397665973,1789633761280269312,3812377397673649,7676
11,3812377397673729,1789633761280277504,3812377397681406,7677
12,3812377397681475,1789633761280284672,3812377397689169,7694
13,3812377397689247,1789633761280292864,3812377397696930,7683
14,3812377397697010,1789633761280301056,3812377397704673,7663
15,3812377397704745,1789633761280308224,3812377397712447,7702
16,3812377397712528,1789633761280316416,3812377397720218,7690
17,3812377397720298,1789633761280323584,3812377397727965,7667
18,3812377397728040,1789633761280331776,3812377397735725,7685
19,3812377397735808,1789633761280338944,3812377397743533,7725
20,3812377397743615,1789633761280347136,3812377397751336,7721
21,3812377397751415,1789633761280355328,3812377397759136,7721
22,3812377397759215,1789633761280362496,3812377397766938,7723
23,3812377397767010,1789633761280370688,3812377397774741,7731
24,3812377397774820,1789633761280378880,3812377397782549,7729
25,3812377397782628,1789633761280386048,3812377397790349,7721
26,3812377397790425,1789633761280394240,3812377397798148,7723
27,3812377397798227,1789633761280401408,3812377397805959,7732
28,3812377397806043,1789633761280409600,3812377397813765,7722
29,3812377397813845,1789633761280417792,3812377397821661,7816
30,3812377397821740,1789633761280424960,3812377397829423,7683
31,3812377397829502,1789633761280433152,3812377397837165,7663
32,3812377397837245,1789633761280441344,3812377397844966,7721
33,3812377397845045,1789633761280448512,3812377397852771,7726
34,3812377397852850,1789633761280456704,3812377397860581,7731
35,3812377397860665,1789633761280463872,3812377397868379,7714
36,3812377397868458,1789633761280472064,3812377397876186,7728
37,3812377397876265,1789633761280480256,3812377397884023,7758
38,3812377397884102,1789633761280487424,3812377397891787,7685
39,3812377397891865,1789633761280495616,3812377397899596,7731
40,3812377397899675,1789633761280502784,3812377397907388,7713
41,3812377397907467,1789633761280510976,3812377397915195,7728
42,3812377397915275,1789633761280519168,3812377397923005,7730
43,3812377397923082,1789633761280526336,3812377397930938,7856
44,3812377397931018,1789633761280534528,3812377397938679,7661
45,3812377397938757,1789633761280542720,3812377397946436,7679
46,3812377397946507,1789633761280549888,3812377397954225,7718
47,3812377397954305,1789633761280558080,3812377397962033,7728
48,3812377397962107,1789633761280565248,3812377397969895,7788
49,3812377397969967,1789633761280573440,3812377397977663,7696
50,3812377397977742,1789633761280581632,3812377397985426,7684
51,3812377397985505,1789633761280588800,3812377397993249,7744
52,3812377397993328,1789633761280596992,3812377398001049,7721
53,3812377398001128,1789633761280605184,3812377398008849,7721
54,3812377398008928,1789633761280612352,3812377398016659,7731
55,3812377398016742,1789633761280620544,3812377398024465,7723
56,3812377398024537,1789633761280627712,3812377398032259,7722
57,3812377398032340,1789633761280635904,3812377398040068,7728
58,3812377398040149,1789633761280644096,3812377398047866,7717
59,3812377398047938,1789633761280651264,3812377398055664,7726
60,3812377398055742,1789633761280659456,3812377398063471,7729
61,3812377398063545,1789633761280666624,3812377398071276,7731
