sample,cpu_send_ns,gpu_ns,cpu_observed_ns,rtt_ns
0,3812211070306706,1789633594956114944,3812211070471831,165125
1,3812211070472069,1789633594956123136,3812211070480194,8125
2,3812211070480433,1789633594956132352,3812211070488545,8112
3,3812211070488775,1789633594956140544,3812211070496864,8089
4,3812211070496887,1789633594956148736,3812211070505227,8340
5,3812211070505465,1789633594956156928,3812211070513582,8117
6,3812211070513820,1789633594956165120,3812211070521914,8094
7,3812211070522151,1789633594956173312,3812211070530230,8079
8,3812211070530470,1789633594956181504,3812211070538557,8087
9,3812211070538795,1789633594956190720,3812211070546912,8117
10,3812211070547151,1789633594956198912,3812211070555242,8091
11,3812211070555481,1789633594956207104,3812211070563589,8108
12,3812211070563831,1789633594956215296,3812211070571939,8108
13,3812211070572178,1789633594956223488,3812211070580264,8086
14,3812211070580501,1789633594956231680,3812211070588612,8111
15,3812211070588850,1789633594956239872,3812211070596959,8109
16,3812211070597198,1789633594956249088,3812211070605306,8108
17,3812211070605545,1789633594956257280,3812211070613655,8110
18,3812211070613890,1789633594956265472,3812211070622002,8112
19,3812211070622240,1789633594956273664,3812211070630364,8124
20,3812211070630600,1789633594956281856,3812211070638712,8112
21,3812211070638951,1789633594956290048,3812211070647061,8110
22,3812211070647298,1789633594956299264,3812211070655450,8152
23,3812211070655691,1789633594956307456,3812211070663777,8086
24,3812211070664015,1789633594956315648,3812211070672129,8114
25,3812211070672371,1789633594956323840,3812211070680456,8085
26,3812211070680695,1789633594956332032,3812211070688812,8117
27,3812211070689050,1789633594956340224,3812211070697119,8069
28,3812211070697360,1789633594956348416,3812211070705454,8094
29,3812211070705691,1789633594956357632,3812211070713802,8111
30,3812211070714042,1789633594956365824,3812211070722134,8092
31,3812211070722373,1789633594956374016,3812211070730462,8089
32,3812211070730698,1789633594956382208,3812211070738785,8087
33,3812211070739021,1789633594956390400,3812211070747142,8121
34,3812211070747375,1789633594956398592,3812211070755472,8097
35,3812211070755711,1789633594956406784,3812211070763797,8086
36,3812211070764035,1789633594956416000,3812211070772114,8079
37,3812211070772351,1789633594956424192,3812211070780477,8126
38,3812211070780715,1789633594956432384,3812211070788825,8110
39,3812211070789061,1789633594956440576,3812211070797169,8108
40,3812211070797410,1789633594956448768,3812211070805497,8087
41,3812211070805735,1789633594956456960,3812211070813845,8110
42,3812211070814080,1789633594956465152,3812211070822167,8087
43,3812211070822408,1789633594956474368,3812211070830494,8086
44,3812211070830731,1789633594956482560,3812211070838812,8081
45,3812211070839050,1789633594956490752,3812211070847059,8009
46,3812211070847295,1789633594956498944,3812211070855299,8004
47,3812211070855539,1789633594956507136,3812211070863542,8003
48,3812211070863775,1789633594956515328,3812211070871792,8017
49,3812211070872025,1789633594956523520,3812211070880072,8047
50,3812211070880308,1789633594956531712,3812211070888318,8010
51,3812211070888559,1789633594956539904,3812211070896555,7996
52,3812211070896782,1789633594956548096,3812211070904809,8027
53,3812211070905051,1789633594956556288,3812211070913055,8004
54,3812211070913290,1789633594956564480,3812211070921285,7995
55,3812211070921522,1789633594956572672,3812211070929524,8002
56,3812211070929761,1789633594956580864,3812211070937732,7971
57,3812211070937968,1789633594956589056,3812211070946119,8151
58,3812211070946348,1789633594956598272,3812211070954372,8024
59,3812211070954611,1789633594956606464,3812211070962619,8008
60,3812211070962860,1789633594956614656,3812211070970847,7987
61,3812211070971084,1789633594956622848,3812211070979067,7983
62,3812211070979308,1789633594956631040,3812211070987352,8044
63,3812211070987588,1789633594956639232,3812211070995597,8009
64,3812211070995821,1789633594956647424,3812211071003827,8006
65,3812211071004065,1789633594956655616,3812211071012072,8007
66,3812211071012309,1789633594956663808,3812211071020304,7995
67,3812211071020541,1789633594956672000,3812211071028549,8008
68,3812211071028788,1789633594956680192,3812211071036782,7994
69,3812211071037020,1789633594956688384,3812211071045032,8012
70,3812211071045271,1789633594956696576,3812211071053425,8154
71,3812211071053660,1789633594956704768,3812211071061752,8092
