sample,cpu_send_ns,gpu_ns,cpu_observed_ns,rtt_ns
0,3812210636120904,1789633594521780224,3812210636130295,9391
1,3812210636130581,1789633594521790464,3812210636139628,9047
2,3812210636139910,1789633594521799680,3812210636148969,9059
3,3812210636149254,1789633594521808896,3812210636158442,9188
4,3812210636158729,1789633594521818112,3812210636167795,9066
5,3812210636168078,1789633594521827328,3812210636177125,9047
6,3812210636177409,1789633594521837568,3812210636186485,9076
7,3812210636186769,1789633594521846784,3812210636195943,9174
8,3812210636196230,1789633594521856000,3812210636205405,9175
9,3812210636205691,1789633594521865216,3812210636214865,9174
10,3812210636215150,1789633594521874432,3812210636224328,9178
11,3812210636224601,1789633594521884672,3812210636233795,9194
12,3812210636234079,1789633594521893888,3812210636243243,9164
13,3812210636243529,1789633594521903104,3812210636252703,9174
14,3812210636252986,1789633594521912320,3812210636262221,9235
15,3812210636262504,1789633594521922560,3812210636271701,9197
16,3812210636271984,1789633594521931776,3812210636281176,9192
17,3812210636281459,1789633594521940992,3812210636290615,9156
18,3812210636290899,1789633594521950208,3812210636300075,9176
19,3812210636300359,1789633594521960448,3812210636309553,9194
20,3812210636309837,1789633594521969664,3812210636319011,9174
21,3812210636319294,1789633594521978880,3812210636328446,9152
22,3812210636328729,1789633594521988096,3812210636337903,9174
23,3812210636338187,1789633594521998336,3812210636347338,9151
24,3812210636347621,1789633594522007552,3812210636356818,9197
25,3812210636357104,1789633594522016768,3812210636366261,9157
26,3812210636366544,1789633594522025984,3812210636375702,9158
27,3812210636375986,1789633594522035200,3812210636385160,9174
28,3812210636385444,1789633594522045440,3812210636394641,9197
29,3812210636394911,1789633594522054656,3812210636404105,9194
30,3812210636404390,1789633594522063872,3812210636413546,9156
31,3812210636413831,1789633594522073088,3812210636422991,9160
32,3812210636423261,1789633594522083328,3812210636432463,9202
33,3812210636432748,1789633594522092544,3812210636441920,9172
34,3812210636442204,1789633594522101760,3812210636451378,9174
35,3812210636451661,1789633594522110976,3812210636460841,9180
36,3812210636461116,1789633594522121216,3812210636470293,9177
37,3812210636470579,1789633594522130432,3812210636479755,9176
38,3812210636480041,1789633594522139648,3812210636489193,9152
39,3812210636489479,1789633594522148864,3812210636498675,9196
40,3812210636498959,1789633594522158080,3812210636508201,9242
41,3812210636508484,1789633594522168320,3812210636517678,9194
42,3812210636517964,1789633594522177536,3812210636527158,9194
43,3812210636527441,1789633594522186752,3812210636536511,9070
44,3812210636536781,1789633594522195968,3812210636545855,9074
45,3812210636546139,1789633594522206208,3812210636555213,9074
46,3812210636555491,1789633594522215424,3812210636564726,9235
47,3812210636565009,1789633594522224640,3812210636574061,9052
48,3812210636574334,1789633594522233856,3812210636583453,9119
49,3812210636583737,1789633594522243072,3812210636592768,9031
50,3812210636593054,1789633594522252288,3812210636602151,9097
51,3812210636602434,1789633594522262528,3812210636611543,9109
52,3812210636611834,1789633594522271744,3812210636620900,9066
53,3812210636621184,1789633594522280960,3812210636630276,9092
54,3812210636630558,1789633594522290176,3812210636639595,9037
55,3812210636639884,1789633594522299392,3812210636648957,9073
56,3812210636649241,1789633594522308608,3812210636658377,9136
57,3812210636658661,1789633594522317824,3812210636667737,9076
58,3812210636668021,1789633594522328064,3812210636677091,9070
59,3812210636677374,1789633594522337280,3812210636686444,9070
60,3812210636686729,1789633594522346496,3812210636695763,9034
61,3812210636696037,1789633594522355712,3812210636705200,9163
62,3812210636705484,1789633594522364928,3812210636714635,9151
63,3812210636714918,1789633594522374144,3812210636723965,9047
64,3812210636724249,1789633594522384384,3812210636733341,9092
65,3812210636733624,1789633594522393600,3812210636742693,9069
66,3812210636742979,1789633594522402816,3812210636752027,9048
67,3812210636752301,1789633594522412032,3812210636761375,9074
68,3812210636761659,1789633594522421248,3812210636770733,9074
69,3812210636771006,1789633594522430464,3812210636780081,9075
70,3812210636780364,1789633594522439680,3812210636789440,9076
71,3812210636789724,1789633594522448896,3812210636798841,9117
72,3812210636799124,1789633594522459136,3812210636808190,9066
73,3812210636808474,1789633594522468352,3812210636817543,9069
74,3812210636817830,1789633594522477568,3812210636826903,9073
75,3812210636827187,1789633594522486784,3812210636836253,9066
76,3812210636836527,1789633594522496000,3812210636845637,9110
77,3812210636845922,1789633594522505216,3812210636855017,9095
78,3812210636855304,1789633594522514432,3812210636864358,9054
79,3812210636864641,1789633594522524672,3812210636873711,9070
80,3812210636873994,1789633594522533888,3812210636883071,9077
81,3812210636883354,1789633594522543104,3812210636892468,9114
82,3812210636892754,1789633594522552320,3812210636901805,9051
83,3812210636902088,1789633594522561536,3812210636911203,9115
84,3812210636911474,1789633594522570752,3812210636920525,9051
85,3812210636920809,1789633594522579968,3812210636929877,9068
86,3812210636930161,1789633594522590208,3812210636939313,9152
87,3812210636939596,1789633594522599424,3812210636948667,9071
88,3812210636948948,1789633594522608640,3812210636958018,9070
89,3812210636958304,1789633594522617856,3812210636967333,9029
90,3812210636967616,1789633594522627072,3812210636976685,9069
91,3812210636976969,1789633594522636288,3812210636986105,9136
92,3812210636986388,1789633594522646528,3812210636995466,9078
93,3812210636995750,1789633594522655744,3812210637004817,9067
94,3812210637005104,1789633594522664960,3812210637014155,9051
95,3812210637014439,1789633594522674176,3812210637023515,9076
96,3812210637023799,1789633594522683392,3812210637032935,9136
97,3812210637033218,1789633594522692608,3812210637042258,9040
98,3812210637042541,1789633594522701824,3812210637051610,9069
99,3812210637051894,1789633594522711040,3812210637060925,9031
100,3812210637061209,1789633594522721280,3812210637070277,9068
101,3812210637070561,1789633594522730496,3812210637079757,9196
102,3812210637080041,1789633594522739712,3812210637089110,9069
103,3812210637089394,1789633594522748928,3812210637098465,9071
104,3812210637098748,1789633594522758144,3812210637107815,9067
105,3812210637108098,1789633594522767360,3812210637117168,9070
106,3812210637117454,1789633594522776576,3812210637126565,9111
107,3812210637126848,1789633594522786816,3812210637135925,9077
108,3812210637136208,1789633594522796032,3812210637145285,9077
109,3812210637145569,1789633594522805248,3812210637154621,9052
110,3812210637154894,1789633594522814464,3812210637163968,9074
111,3812210637164254,1789633594522823680,3812210637173387,9133
112,3812210637173671,1789633594522832896,3812210637182743,9072
113,3812210637183034,1789633594522843136,3812210637192150,9116
114,3812210637192424,1789633594522852352,3812210637201476,9052
115,3812210637201759,1789633594522861568,3812210637210805,9046
116,3812210637211089,1789633594522870784,3812210637220210,9121
117,3812210637220494,1789633594522880000,3812210637229563,9069
118,3812210637229847,1789633594522889216,3812210637238935,9088
119,3812210637239221,1789633594522898432,3812210637248252,9031
120,3812210637248537,1789633594522908672,3812210637257613,9076
121,3812210637257896,1789633594522917888,3812210637267011,9115
122,3812210637267294,1789633594522927104,3812210637276371,9077
123,3812210637276654,1789633594522936320,3812210637285745,9091
124,3812210637286030,1789633594522945536,3812210637295103,9073
