sample,cpu_send_ns,gpu_ns,cpu_observed_ns,rtt_ns
0,3812211058630852,1789633594944438272,3812211058795405,164553
1,3812211058795646,1789633594944447488,3812211058803915,8269
2,3812211058804156,1789633594944455680,3812211058812423,8267
3,3812211058812654,1789633594944464896,3812211058820948,8294
4,3812211058820971,1789633594944473088,3812211058829542,8571
5,3812211058829779,1789633594944481280,3812211058838078,8299
6,3812211058838316,1789633594944490496,3812211058846613,8297
7,3812211058846854,1789633594944498688,3812211058855238,8384
8,3812211058855476,1789633594944506880,3812211058863803,8327
9,3812211058864042,1789633594944516096,3812211058872320,8278
10,3812211058872559,1789633594944524288,3812211058880858,8299
11,3812211058881096,1789633594944532480,3812211058889392,8296
12,3812211058889628,1789633594944541696,3812211058897930,8302
13,3812211058898165,1789633594944549888,3812211058906485,8320
14,3812211058906727,1789633594944558080,3812211058914991,8264
15,3812211058915229,1789633594944567296,3812211058923555,8326
16,3812211058923796,1789633594944575488,3812211058932083,8287
17,3812211058932325,1789633594944583680,3812211058940618,8293
18,3812211058940854,1789633594944592896,3812211058949158,8304
19,3812211058949398,1789633594944601088,3812211058957695,8297
20,3812211058957936,1789633594944609280,3812211058966233,8297
21,3812211058966464,1789633594944618496,3812211058974795,8331
22,3812211058975036,1789633594944626688,3812211058983343,8307
23,3812211058983587,1789633594944635904,3812211058991873,8286
24,3812211058992114,1789633594944644096,3812211059000435,8321
25,3812211059000664,1789633594944652288,3812211059009033,8369
26,3812211059009274,1789633594944661504,3812211059017558,8284
27,3812211059017799,1789633594944669696,3812211059026088,8289
28,3812211059026326,1789633594944677888,3812211059034718,8392
29,3812211059034959,1789633594944687104,3812211059043248,8289
30,3812211059043489,1789633594944695296,3812211059051948,8459
31,3812211059052186,1789633594944704512,3812211059060490,8304
32,3812211059060728,1789633594944712704,3812211059069039,8311
33,3812211059069278,1789633594944720896,3812211059077623,8345
34,3812211059077854,1789633594944730112,3812211059086148,8294
35,3812211059086386,1789633594944738304,3812211059094683,8297
36,3812211059094925,1789633594944746496,3812211059103220,8295
37,3812211059103454,1789633594944755712,3812211059111838,8384
38,3812211059112078,1789633594944763904,3812211059120373,8295
39,3812211059120608,1789633594944772096,3812211059128918,8310
40,3812211059129159,1789633594944781312,3812211059137360,8201
41,3812211059137594,1789633594944789504,3812211059145858,8264
42,3812211059146098,1789633594944797696,3812211059154308,8210
43,3812211059154547,1789633594944805888,3812211059162753,8206
44,3812211059162994,1789633594944815104,3812211059171218,8224
45,3812211059171459,1789633594944823296,3812211059179658,8199
46,3812211059179896,1789633594944831488,3812211059188104,8208
47,3812211059188344,1789633594944840704,3812211059196638,8294
48,3812211059196875,1789633594944848896,3812211059205075,8200
49,3812211059205316,1789633594944857088,3812211059213511,8195
50,3812211059213749,1789633594944865280,3812211059221950,8201
51,3812211059222189,1789633594944874496,3812211059230408,8219
52,3812211059230649,1789633594944882688,3812211059238843,8194
53,3812211059239086,1789633594944890880,3812211059247293,8207
54,3812211059247529,1789633594944899072,3812211059255745,8216
55,3812211059255987,1789633594944908288,3812211059264198,8211
56,3812211059264437,1789633594944916480,3812211059272658,8221
57,3812211059272896,1789633594944924672,3812211059281119,8223
58,3812211059281354,1789633594944932864,3812211059289568,8214
59,3812211059289809,1789633594944942080,3812211059298024,8215
60,3812211059298264,1789633594944950272,3812211059306475,8211
61,3812211059306716,1789633594944958464,3812211059314928,8212
62,3812211059315169,1789633594944966656,3812211059340472,25303
63,3812211059340709,1789633594944992256,3812211059348745,8036
64,3812211059348986,1789633594945000448,3812211059357198,8212
65,3812211059357436,1789633594945009664,3812211059365643,8207
66,3812211059365879,1789633594945017856,3812211059374115,8236
67,3812211059374358,1789633594945026048,3812211059382555,8197
68,3812211059382796,1789633594945034240,3812211059390991,8195
69,3812211059391229,1789633594945043456,3812211059399465,8236
70,3812211059399706,1789633594945051648,3812211059407905,8199
71,3812211059408148,1789633594945059840,3812211059416385,8237
72,3812211059416628,1789633594945068032,3812211059424838,8210
73,3812211059425069,1789633594945077248,3812211059433233,8164
74,3812211059433474,1789633594945085440,3812211059441723,8249
75,3812211059441965,1789633594945093632,3812211059450268,8303
76,3812211059450509,1789633594945101824,3812211059458768,8259
77,3812211059459008,1789633594945111040,3812211059467215,8207
78,3812211059467456,1789633594945119232,3812211059475668,8212
79,3812211059475904,1789633594945127424,3812211059484105,8201
80,3812211059484346,1789633594945136640,3812211059492561,8215
