sample,cpu_send_ns,gpu_ns,cpu_observed_ns,rtt_ns
0,3812210966341203,1789633594851994624,3812210966349852,8649
1,3812210966350097,1789633594852003840,3812210966358479,8382
2,3812210966358719,1789633594852012032,3812210966367051,8332
3,3812210966367294,1789633594852021248,3812210966375674,8380
4,3812210966375922,1789633594852029440,3812210966384258,8336
5,3812210966384495,1789633594852037632,3812210966392788,8293
6,3812210966393034,1789633594852046848,3812210966401381,8347
7,3812210966401617,1789633594852055040,3812210966409958,8341
8,3812210966410202,1789633594852063232,3812210966418606,8404
9,3812210966418852,1789633594852072448,3812210966427191,8339
10,3812210966427434,1789633594852080640,3812210966435786,8352
11,3812210966436029,1789633594852089856,3812210966444366,8337
12,3812210966444610,1789633594852098048,3812210966452946,8336
13,3812210966453189,1789633594852106240,3812210966461526,8337
14,3812210966461770,1789633594852115456,3812210966469991,8221
15,3812210966470226,1789633594852123648,3812210966478489,8263
16,3812210966478725,1789633594852131840,3812210966486989,8264
17,3812210966487234,1789633594852141056,3812210966495453,8219
18,3812210966495699,1789633594852149248,3812210966503921,8222
19,3812210966504157,1789633594852157440,3812210966512533,8376
20,3812210966512779,1789633594852166656,3812210966520989,8210
21,3812210966521232,1789633594852174848,3812210966529539,8307
22,3812210966529782,1789633594852183040,3812210966538001,8219
23,3812210966538237,1789633594852192256,3812210966546493,8256
24,3812210966546727,1789633594852200448,3812210966554962,8235
25,3812210966555207,1789633594852208640,3812210966563461,8254
26,3812210966563707,1789633594852216832,3812210966571926,8219
27,3812210966572170,1789633594852226048,3812210966580519,8349
28,3812210966580755,1789633594852234240,3812210966588989,8234
29,3812210966589235,1789633594852242432,3812210966597493,8258
30,3812210966597727,1789633594852251648,3812210966605973,8246
31,3812210966606222,1789633594852259840,3812210966614473,8251
32,3812210966614722,1789633594852268032,3812210966622976,8254
33,3812210966623215,1789633594852277248,3812210966631556,8341
34,3812210966631795,1789633594852285440,3812210966640053,8258
35,3812210966640299,1789633594852293632,3812210966648546,8247
36,3812210966648789,1789633594852301824,3812210966657023,8234
37,3812210966657262,1789633594852311040,3812210966665509,8247
38,3812210966665745,1789633594852319232,3812210966674166,8421
39,3812210966674410,1789633594852327424,3812210966682659,8249
40,3812210966682902,1789633594852336640,3812210966691139,8237
41,3812210966691382,1789633594852344832,3812210966699629,8247
42,3812210966699875,1789633594852353024,3812210966708104,8229
43,3812210966708347,1789633594852362240,3812210966716683,8336
44,3812210966716927,1789633594852370432,3812210966725189,8262
45,3812210966725434,1789633594852378624,3812210966733661,8227
46,3812210966733897,1789633594852387840,3812210966742196,8299
47,3812210966742435,1789633594852396032,3812210966750673,8238
48,3812210966750922,1789633594852404224,3812210966759176,8254
49,3812210966759415,1789633594852412416,3812210966767811,8396
50,3812210966768054,1789633594852421632,3812210966776309,8255
51,3812210966776555,1789633594852429824,3812210966784781,8226
52,3812210966785017,1789633594852439040,3812210966793266,8249
53,3812210966793509,1789633594852447232,3812210966801721,8212
54,3812210966801967,1789633594852455424,3812210966810188,8221
55,3812210966810432,1789633594852463616,3812210966818816,8384
56,3812210966819054,1789633594852472832,3812210966827308,8254
57,3812210966827552,1789633594852481024,3812210966835811,8259
58,3812210966836047,1789633594852489216,3812210966844303,8256
59,3812210966844549,1789633594852498432,3812210966852793,8244
60,3812210966853037,1789633594852506624,3812210966861266,8229
61,3812210966861502,1789633594852514816,3812210966869751,8249
62,3812210966869994,1789633594852523008,3812210966878219,8225
63,3812210966878462,1789633594852532224,3812210966886806,8344
64,3812210966887050,1789633594852540416,3812210966895271,8221
65,3812210966895512,1789633594852548608,3812210966903766,8254
66,3812210966904010,1789633594852557824,3812210966912226,8216
67,3812210966912469,1789633594852566016,3812210966920719,8250
68,3812210966920955,1789633594852574208,3812210966929206,8251
69,3812210966929450,1789633594852583424,3812210966937829,8379
70,3812210966938072,1789633594852591616,3812210966946319,8247
71,3812210966946562,1789633594852599808,3812210966954820,8258
72,3812210966955057,1789633594852609024,3812210966963309,8252
73,3812210966963552,1789633594852617216,3812210966971831,8279
74,3812210966972066,1789633594852625408,3812210966980446,8380
75,3812210966980690,1789633594852634624,3812210966988949,8259
76,3812210966989195,1789633594852642816,3812210966997431,8236
77,3812210966997675,1789633594852651008,3812210967005929,8254
78,3812210967006174,1789633594852659200,3812210967014401,8227
79,3812210967014636,1789633594852668416,3812210967022876,8240
80,3812210967023115,1789633594852676608,3812210967031455,8340
81,3812210967031692,1789633594852684800,3812210967039949,8257
82,3812210967040194,1789633594852694016,3812210967048455,8261
83,3812210967048702,1789633594852702208,3812210967056962,8260
84,3812210967057207,1789633594852710400,3812210967065441,8234
85,3812210967065687,1789633594852719616,3812210967074071,8384
86,3812210967074307,1789633594852727808,3812210967082558,8251
87,3812210967082802,1789633594852736000,3812210967091059,8257
88,3812210967091294,1789633594852745216,3812210967099545,8251
89,3812210967099790,1789633594852753408,3812210967108033,8243
90,3812210967108277,1789633594852761600,3812210967116536,8259
91,3812210967116777,1789633594852769792,3812210967125121,8344
92,3812210967125367,1789633594852779008,3812210967133581,8214
93,3812210967133827,1789633594852787200,3812210967142089,8262
94,3812210967142325,1789633594852795392,3812210967150571,8246
95,3812210967150808,1789633594852804608,3812210967159063,8255
96,3812210967159307,1789633594852812800,3812210967167518,8211
97,3812210967167762,1789633594852820992,3812210967175999,8237
98,3812210967176247,1789633594852830208,3812210967184493,8246
99,3812210967184739,1789633594852838400,3812210967192961,8222
100,3812210967193197,1789633594852846592,3812210967201445,8248
101,3812210967201690,1789633594852854784,3812210967209911,8221
102,3812210967210146,1789633594852864000,3812210967218449,8303
103,3812210967218694,1789633594852872192,3812210967226931,8237
104,3812210967227177,1789633594852880384,3812210967235434,8257
105,3812210967235679,1789633594852889600,3812210967243901,8222
106,3812210967244146,1789633594852897792,3812210967252369,8223
107,3812210967252604,1789633594852905984,3812210967260839,8235
108,3812210967261082,1789633594852914176,3812210967269449,8367
109,3812210967269694,1789633594852923392,3812210967277941,8247
110,3812210967278187,1789633594852931584,3812210967286445,8258
111,3812210967286692,1789633594852939776,3812210967294918,8226
112,3812210967295162,1789633594852948992,3812210967303381,8219
113,3812210967303622,1789633594852957184,3812210967311839,8217
114,3812210967312075,1789633594852965376,3812210967320338,8263
115,3812210967320582,1789633594852974592,3812210967328826,8244
116,3812210967329069,1789633594852982784,3812210967337461,8392
117,3812210967337707,1789633594852990976,3812210967345921,8214
118,3812210967346167,1789633594852999168,3812210967354418,8251
119,3812210967354662,1789633594853008384,3812210967362881,8219
120,3812210967363117,1789633594853016576,3812210967371345,8228
121,3812210967371589,1789633594853024768,3812210967379819,8230
122,3812210967380062,1789633594853033984,3812210967388445,8383
123,3812210967388690,1789633594853042176,3812210967396933,8243
124,3812210967397177,1789633594853050368,3812210967405473,8296
125,3812210967405719,1789633594853059584,3812210967413959,8240
126,3812210967414195,1789633594853067776,3812210967422453,8258
127,3812210967422699,1789633594853075968,3812210967431081,8382
128,3812210967431327,1789633594853085184,3812210967439586,8259
129,3812210967439829,1789633594853093376,3812210967448051,8222
130,3812210967448287,1789633594853101568,3812210967456545,8258
131,3812210967456789,1789633594853110784,3812210967465049,8260
132,3812210967465295,1789633594853118976,3812210967473518,8223
133,3812210967473762,1789633594853127168,3812210967482089,8327
134,3812210967482334,1789633594853135360,3812210967490571,8237
135,3812210967490815,1789633594853144576,3812210967499106,8291
136,3812210967499349,1789633594853152768,3812210967507571,8222
137,3812210967507806,1789633594853160960,3812210967516040,8234
138,3812210967516287,1789633594853170176,3812210967524531,8244
139,3812210967524777,1789633594853178368,3812210967533019,8242
140,3812210967533254,1789633594853186560,3812210967541516,8262
141,3812210967541754,1789633594853194752,3812210967550096,8342
142,3812210967550335,1789633594853203968,3812210967558578,8243
143,3812210967558815,1789633594853212160,3812210967567063,8248
144,3812210967567306,1789633594853220352,3812210967575551,8245
145,3812210967575787,1789633594853229568,3812210967584051,8264
146,3812210967584294,1789633594853237760,3812210967592549,8255
147,3812210967592795,1789633594853245952,3812210967601099,8304
148,3812210967601346,1789633594853255168,3812210967609581,8235
149,3812210967609827,1789633594853263360,3812210967618091,8264
150,3812210967618327,1789633594853271552,3812210967626578,8251
151,3812210967626823,1789633594853280768,3812210967635078,8255
152,3812210967635315,1789633594853288960,3812210967643739,8424
153,3812210967643982,1789633594853297152,3812210967652226,8244
154,3812210967652469,1789633594853306368,3812210967660703,8234
155,3812210967660947,1789633594853314560,3812210967669192,8245
156,3812210967669434,1789633594853322752,3812210967677639,8205
157,3812210967677882,1789633594853330944,3812210967686126,8244
158,3812210967686370,1789633594853340160,3812210967694756,8386
159,3812210967694994,1789633594853348352,3812210967703239,8245
160,3812210967703475,1789633594853356544,3812210967711731,8256
161,3812210967711976,1789633594853365760,3812210967720229,8253
162,3812210967720474,1789633594853373952,3812210967728726,8252
163,3812210967728970,1789633594853382144,3812210967737366,8396
164,3812210967737610,1789633594853391360,3812210967745849,8239
165,3812210967746095,1789633594853399552,3812210967754353,8258
166,3812210967754597,1789633594853407744,3812210967762861,8264
167,3812210967763107,1789633594853416960,3812210967771341,8234
168,3812210967771587,1789633594853425152,3812210967782883,11296
169,3812210967783124,1789633594853436416,3812210967791323,8199
170,3812210967791559,1789633594853444608,3812210967799790,8231
171,3812210967800032,1789633594853453824,3812210967808319,8287
172,3812210967808559,1789633594853462016,3812210967816883,8324
173,3812210967817122,1789633594853470208,3812210967825403,8281
174,3812210967825642,1789633594853479424,3812210967833833,8191
175,3812210967834072,1789633594853487616,3812210967842271,8199
176,3812210967842512,1789633594853495808,3812210967850764,8252
177,3812210967851004,1789633594853504000,3812210967859191,8187
178,3812210967859432,1789633594853513216,3812210967867633,8201
179,3812210967867875,1789633594853521408,3812210967876123,8248
180,3812210967876364,1789633594853529600,3812210967884546,8182
181,3812210967884785,1789633594853537792,3812210967892979,8194
182,3812210967893219,1789633594853547008,3812210967901491,8272
183,3812210967901727,1789633594853555200,3812210967909973,8246
184,3812210967910210,1789633594853563392,3812210967918405,8195
185,3812210967918639,1789633594853572608,3812210967926863,8224
186,3812210967927102,1789633594853580800,3812210967935315,8213
187,3812210967935554,1789633594853588992,3812210967943763,8209
188,3812210967944005,1789633594853597184,3812210967952203,8198
189,3812210967952445,1789633594853606400,3812210967960643,8198
190,3812210967960882,1789633594853614592,3812210967969081,8199
191,3812210967969322,1789633594853622784,3812210967977571,8249
192,3812210967977812,1789633594853630976,3812210967986013,8201
193,3812210967986254,1789633594853640192,3812210967994464,8210
194,3812210967994705,1789633594853648384,3812210968002929,8224
195,3812210968003170,1789633594853656576,3812210968011373,8203
196,3812210968011610,1789633594853664768,3812210968019815,8205
197,3812210968020055,1789633594853673984,3812210968028343,8288
198,3812210968028584,1789633594853682176,3812210968036768,8184
199,3812210968037010,1789633594853690368,3812210968045199,8189
200,3812210968045434,1789633594853698560,3812210968053639,8205
201,3812210968053875,1789633594853707776,3812210968062080,8205
202,3812210968062322,1789633594853715968,3812210968070525,8203
203,3812210968070765,1789633594853724160,3812210968079013,8248
204,3812210968079255,1789633594853732352,3812210968087436,8181
205,3812210968087675,1789633594853741568,3812210968095869,8194
206,3812210968096109,1789633594853749760,3812210968104381,8272
207,3812210968104622,1789633594853757952,3812210968112811,8189
208,3812210968113052,1789633594853766144,3812210968121253,8201
209,3812210968121494,1789633594853775360,3812210968129739,8245
210,3812210968129979,1789633594853783552,3812210968138168,8189
211,3812210968138410,1789633594853791744,3812210968146651,8241
212,3812210968146892,1789633594853799936,3812210968155115,8223
213,3812210968155354,1789633594853809152,3812210968163549,8195
214,3812210968163785,1789633594853817344,3812210968171979,8194
215,3812210968172219,1789633594853825536,3812210968180463,8244
216,3812210968180705,1789633594853833728,3812210968188898,8193
217,3812210968189134,1789633594853842944,3812210968197328,8194
