sample,cpu_send_ns,gpu_ns,cpu_observed_ns,rtt_ns
0,3815432848904604,1789636816675552160,3815432849063624,159020
1,3815432849063766,1789636816675559872,3815432849070418,6652
2,3815432849070558,1789636816675566656,3815432849077277,6719
3,3815432849077418,1789636816675573504,3815432849088293,10875
4,3815432849088316,1789636816675583840,3815432849094545,6229
5,3815432849094686,1789636816675590784,3815432849101331,6645
6,3815432849101470,1789636816675597568,3815432849108100,6630
7,3815432849108241,1789636816675604352,3815432849114870,6629
8,3815432849115011,1789636816675611104,3815432849121639,6628
9,3815432849121778,1789636816675617888,3815432849128418,6640
10,3815432849128558,1789636816675624640,3815432849135227,6669
11,3815432849135368,1789636816675631456,3815432849142000,6632
12,3815432849142140,1789636816675638240,3815432849148789,6649
13,3815432849148928,1789636816675645024,3815432849155561,6633
14,3815432849155701,1789636816675651808,3815432849162346,6645
15,3815432849162485,1789636816675658592,3815432849169117,6632
16,3815432849169258,1789636816675665344,3815432849175896,6638
17,3815432849176036,1789636816675672128,3815432849182787,6751
18,3815432849182929,1789636816675679040,3815432849189580,6651
19,3815432849189722,1789636816675685824,3815432849196426,6704
20,3815432849196566,1789636816675692672,3815432849203217,6651
21,3815432849203354,1789636816675699456,3815432849210095,6741
22,3815432849210232,1789636816675706336,3815432849216877,6645
23,3815432849217018,1789636816675713120,3815432849223736,6718
24,3815432849223875,1789636816675719968,3815432849230520,6645
25,3815432849230661,1789636816675726752,3815432849237362,6701
26,3815432849237504,1789636816675733600,3815432849244146,6642
27,3815432849244286,1789636816675740384,3815432849251057,6771
28,3815432849251198,1789636816675747296,3815432849257851,6653
29,3815432849257991,1789636816675754112,3815432849264716,6725
30,3815432849264856,1789636816675760960,3815432849271510,6654
31,3815432849271651,1789636816675767744,3815432849278369,6718
32,3815432849278510,1789636816675774624,3815432849285178,6668
33,3815432849285315,1789636816675781408,3815432849292018,6703
34,3815432849292158,1789636816675788256,3815432849298817,6659
35,3815432849298958,1789636816675795072,3815432849305680,6722
36,3815432849305820,1789636816675801920,3815432849312498,6678
37,3815432849312635,1789636816675808736,3815432849319332,6697
38,3815432849319469,1789636816675815552,3815432849326110,6641
39,3815432849326251,1789636816675822336,3815432849332991,6740
40,3815432849333131,1789636816675829216,3815432849339749,6618
41,3815432849339891,1789636816675836000,3815432849346647,6756
42,3815432849346785,1789636816675842880,3815432849353426,6641
43,3815432849353565,1789636816675849664,3815432849360300,6735
44,3815432849360441,1789636816675856544,3815432849367095,6654
45,3815432849367236,1789636816675863328,3815432849373968,6732
46,3815432849374105,1789636816675870208,3815432849380746,6641
47,3815432849380886,1789636816675876992,3815432849387607,6721
48,3815432849387748,1789636816675883840,3815432849394420,6672
49,3815432849394560,1789636816675890656,3815432849401268,6708
50,3815432849401408,1789636816675897504,3815432849408047,6639
51,3815432849408188,1789636816675904288,3815432849414917,6729
52,3815432849415058,1789636816675911168,3815432849421718,6660
53,3815432849421858,1789636816675917952,3815432849428578,6720
