schema_version,trial,sample,gpu_ns,cpu_observed_ns
2,0,0,1789636816590589888,3815432764099439
2,0,1,1789636816590601280,3815432764110359
2,0,2,1789636816590612288,3815432764121308
2,0,3,1789636816590623200,3815432764132299
2,0,4,1789636816590634176,3815432764143199
2,0,5,1789636816590645056,3815432764154096
2,0,6,1789636816590655968,3815432764164996
2,0,7,1789636816590666880,3815432764175908
2,0,8,1789636816590677824,3815432764186936
2,0,9,1789636816590688800,3815432764197859
2,0,10,1789636816590699712,3815432764208764
2,0,11,1789636816590710624,3815432764219668
2,0,12,1789636816590721568,3815432764230616
2,0,13,1789636816590732480,3815432764241548
2,0,14,1789636816590743424,3815432764252467
2,0,15,1789636816590754336,3815432764263376
2,0,16,1789636816590765216,3815432764274267
2,0,17,1789636816590776128,3815432764285176
2,0,18,1789636816590787072,3815432764296194
2,0,19,1789636816590798080,3815432764307128
2,0,20,1789636816590808992,3815432764318024
2,0,21,1789636816590819904,3815432764328914
2,0,22,1789636816590830784,3815432764339824
2,0,23,1789636816590841696,3815432764350844
2,0,24,1789636816590852704,3815432764361748
2,0,25,1789636816590863616,3815432764372639
2,0,26,1789636816590874496,3815432764383528
2,0,27,1789636816590885440,3815432764394491
2,0,28,1789636816590896352,3815432764405407
2,0,29,1789636816590907296,3815432764416351
2,0,30,1789636816590918208,3815432764427236
2,0,31,1789636816590929056,3815432764438128
2,0,32,1789636816590940000,3815432764449044
2,0,33,1789636816590950880,3815432764460076
2,0,34,1789636816590961920,3815432764470964
2,0,35,1789636816590972800,3815432764481842
2,0,36,1789636816590983680,3815432764492728
2,0,37,1789636816590994624,3815432764503648
2,0,38,1789636816591005504,3815432764514696
2,0,39,1789636816591016576,3815432764525604
2,0,40,1789636816591027456,3815432764536499
2,0,41,1789636816591038368,3815432764547402
2,0,42,1789636816591049312,3815432764558356
2,0,43,1789636816591060224,3815432764569282
2,0,44,1789636816591071168,3815432764580208
2,0,45,1789636816591082048,3815432764591202
2,0,46,1789636816591093024,3815432764602084
2,0,47,1789636816591103936,3815432764612979
2,0,48,1789636816591114816,3815432764623887
2,0,49,1789636816591125792,3815432764634856
2,0,50,1789636816591136672,3815432764645719
2,0,51,1789636816591147584,3815432764656647
2,0,52,1789636816591158528,3815432764667548
2,0,53,1789636816591169408,3815432764678551
2,0,54,1789636816591180416,3815432764689462
2,0,55,1789636816591191328,3815432764700371
2,0,56,1789636816591202208,3815432764711264
2,0,57,1789636816591213088,3815432764722164
2,0,58,1789636816591224032,3815432764733188
2,0,59,1789636816591235008,3815432764744091
2,0,60,1789636816591245888,3815432764754951
2,0,61,1789636816591256800,3815432764765851
2,0,62,1789636816591267712,3815432764776768
2,0,63,1789636816591278624,3815432764787819
2,0,64,1789636816591289664,3815432764798724
2,0,65,1789636816591300576,3815432764809634
2,0,66,1789636816591311456,3815432764820525
2,0,67,1789636816591322400,3815432764831459
2,0,68,1789636816591333344,3815432764842396
2,0,69,1789636816591344256,3815432764853322
2,0,70,1789636816591355200,3815432764864239
2,0,71,1789636816591366112,3815432764875139
2,0,72,1789636816591377024,3815432764886084
2,0,73,1789636816591387936,3815432764897016
2,0,74,1789636816591398848,3815432764907916
2,0,75,1789636816591409760,3815432764918808
2,0,76,1789636816591420640,3815432764929708
2,0,77,1789636816591431584,3815432764940636
2,0,78,1789636816591442496,3815432764951671
2,0,79,1789636816591453504,3815432764962576
2,0,80,1789636816591464416,3815432764973485
2,0,81,1789636816591475328,3815432764984371
2,0,82,1789636816591486208,3815432764995284
2,0,83,1789636816591497184,3815432765006291
2,0,84,1789636816591508128,3815432765017179
2,0,85,1789636816591519040,3815432765028078
2,0,86,1789636816591529952,3815432765039019
2,0,87,1789636816591540896,3815432765049954
2,0,88,1789636816591551808,3815432765060874
2,0,89,1789636816591562752,3815432765071816
2,0,90,1789636816591573664,3815432765082719
2,0,91,1789636816591584576,3815432765093641
2,0,92,1789636816591595520,3815432765104576
2,0,93,1789636816591606400,3815432765115519
2,0,94,1789636816591617408,3815432765126459
2,0,95,1789636816591628320,3815432765137368
2,0,96,1789636816591639232,3815432765148264
2,0,97,1789636816591650144,3815432765159184
2,0,98,1789636816591661088,3815432765170136
2,0,99,1789636816591672032,3815432765181131
2,0,100,1789636816591682944,3815432765192024
2,0,101,1789636816591693856,3815432765202902
2,0,102,1789636816591704768,3815432765213822
2,0,103,1789636816591715680,3815432765224759
2,0,104,1789636816591726624,3815432765235711
2,0,105,1789636816591737568,3815432765246596
2,0,106,1789636816591748480,3815432765257514
2,0,107,1789636816591759392,3815432765268428
