sample,cpu_send_ns,gpu_ns,cpu_observed_ns,rtt_ns
0,3815432750872598,1789636816577370016,3815432750879421,6823
1,3815432750879548,1789636816577377792,3815432750887018,7470
2,3815432750887143,1789636816577385440,3815432750894615,7472
3,3815432750894739,1789636816577393024,3815432750902212,7473
4,3815432750902338,1789636816577400608,3815432750909815,7477
5,3815432750909941,1789636816577408224,3815432750917465,7524
6,3815432750917592,1789636816577415872,3815432750925066,7474
7,3815432750925193,1789636816577423488,3815432750932661,7468
8,3815432750932788,1789636816577431072,3815432750940294,7506
9,3815432750940421,1789636816577438688,3815432750947920,7499
10,3815432750948044,1789636816577446336,3815432750955551,7507
11,3815432750955675,1789636816577453952,3815432750963182,7507
12,3815432750963305,1789636816577461600,3815432750970775,7470
13,3815432750970901,1789636816577469184,3815432750978378,7477
14,3815432750978505,1789636816577476800,3815432750985982,7477
15,3815432750986108,1789636816577484384,3815432750993701,7593
16,3815432750993828,1789636816577492128,3815432751001355,7527
17,3815432751001482,1789636816577499744,3815432751008934,7452
18,3815432751009061,1789636816577507328,3815432751016537,7476
19,3815432751016663,1789636816577514944,3815432751024185,7522
20,3815432751024310,1789636816577522592,3815432751031821,7511
21,3815432751031948,1789636816577530240,3815432751039451,7503
22,3815432751039577,1789636816577537856,3815432751047072,7495
23,3815432751047198,1789636816577545472,3815432751054662,7464
24,3815432751054788,1789636816577553056,3815432751062269,7481
25,3815432751062392,1789636816577560672,3815432751069860,7468
26,3815432751069988,1789636816577568256,3815432751077590,7602
27,3815432751077716,1789636816577576000,3815432751085234,7518
28,3815432751085361,1789636816577583648,3815432751092840,7479
29,3815432751092968,1789636816577591232,3815432751100420,7452
30,3815432751100548,1789636816577598816,3815432751108060,7512
31,3815432751108185,1789636816577606464,3815432751115686,7501
32,3815432751115813,1789636816577614048,3815432751123275,7462
33,3815432751123402,1789636816577621696,3815432751130889,7487
34,3815432751131017,1789636816577629280,3815432751138484,7467
35,3815432751138611,1789636816577636896,3815432751146098,7487
36,3815432751146223,1789636816577644480,3815432751153691,7468
37,3815432751153817,1789636816577652096,3815432751161316,7499
38,3815432751161441,1789636816577659712,3815432751168921,7480
39,3815432751169047,1789636816577667328,3815432751176505,7458
40,3815432751176630,1789636816577674912,3815432751184113,7483
41,3815432751184240,1789636816577682496,3815432751191721,7481
42,3815432751191845,1789636816577690112,3815432751199347,7502
43,3815432751199472,1789636816577697760,3815432751206945,7473
44,3815432751207070,1789636816577705344,3815432751214540,7470
45,3815432751214665,1789636816577712928,3815432751222104,7439
46,3815432751222231,1789636816577720512,3815432751229751,7520
47,3815432751229873,1789636816577728160,3815432751237404,7531
48,3815432751237532,1789636816577735808,3815432751244987,7455
49,3815432751245111,1789636816577743392,3815432751252585,7474
50,3815432751252711,1789636816577750976,3815432751260230,7519
51,3815432751260356,1789636816577758624,3815432751267862,7506
52,3815432751267985,1789636816577766272,3815432751275479,7494
53,3815432751275607,1789636816577773888,3815432751283124,7517
54,3815432751283248,1789636816577781536,3815432751290747,7499
55,3815432751290870,1789636816577789152,3815432751298342,7472
56,3815432751298468,1789636816577796736,3815432751305936,7468
57,3815432751306064,1789636816577804352,3815432751313631,7567
58,3815432751313756,1789636816577812032,3815432751321284,7528
59,3815432751321411,1789636816577819648,3815432751328856,7445
60,3815432751328984,1789636816577827264,3815432751336486,7502
61,3815432751336613,1789636816577834880,3815432751344115,7502
62,3815432751344244,1789636816577842528,3815432751351736,7492
