sample,cpu_send_ns,gpu_ns,cpu_observed_ns,rtt_ns
0,3815991700847113,1789637375517097376,3815991700853709,6596
1,3815991700853837,1789637375517104704,3815991700860828,6991
2,3815991700860959,1789637375517111840,3815991700867965,7006
3,3815991700867988,1789637375517118976,3815991700875104,7116
4,3815991700875233,1789637375517126112,3815991700882272,7039
5,3815991700882401,1789637375517133280,3815991700889425,7024
6,3815991700889553,1789637375517140416,3815991700896538,6985
7,3815991700896668,1789637375517147552,3815991700903696,7028
8,3815991700903822,1789637375517154720,3815991700910865,7043
9,3815991700910993,1789637375517161888,3815991700918032,7039
10,3815991700918163,1789637375517169056,3815991700925205,7042
11,3815991700925335,1789637375517176224,3815991700932352,7017
12,3815991700932478,1789637375517183360,3815991700939480,7002
13,3815991700939607,1789637375517190496,3815991700946613,7006
14,3815991700946741,1789637375517197632,3815991700953763,7022
15,3815991700953888,1789637375517204768,3815991700960902,7014
16,3815991700961029,1789637375517211904,3815991700968028,6999
17,3815991700968155,1789637375517219040,3815991700975175,7020
18,3815991700975305,1789637375517226176,3815991700982312,7007
19,3815991700982442,1789637375517233312,3815991700989463,7021
20,3815991700989593,1789637375517240480,3815991700996565,6972
21,3815991700996693,1789637375517247584,3815991701003718,7025
22,3815991701003843,1789637375517254752,3815991701010878,7035
23,3815991701011003,1789637375517261888,3815991701018008,7005
24,3815991701018135,1789637375517269024,3815991701025148,7013
25,3815991701025277,1789637375517276160,3815991701032285,7008
26,3815991701032413,1789637375517283296,3815991701039433,7020
27,3815991701039560,1789637375517290432,3815991701046576,7016
28,3815991701046703,1789637375517297600,3815991701053728,7025
29,3815991701053858,1789637375517304736,3815991701060856,6998
30,3815991701060987,1789637375517311872,3815991701068016,7029
31,3815991701068147,1789637375517319040,3815991701075178,7031
32,3815991701075307,1789637375517326208,3815991701082325,7018
33,3815991701082451,1789637375517333344,3815991701089464,7013
34,3815991701089594,1789637375517340480,3815991701096592,6998
35,3815991701096723,1789637375517347616,3815991701103741,7018
36,3815991701103867,1789637375517354752,3815991701110878,7011
37,3815991701111007,1789637375517361888,3815991701118017,7010
38,3815991701118142,1789637375517369024,3815991701125161,7019
39,3815991701125287,1789637375517376160,3815991701132316,7029
40,3815991701132442,1789637375517383328,3815991701139483,7041
41,3815991701139612,1789637375517390496,3815991701146612,7000
42,3815991701146739,1789637375517397632,3815991701153756,7017
43,3815991701153885,1789637375517404768,3815991701160935,7050
44,3815991701161067,1789637375517411936,3815991701168072,7005
45,3815991701168202,1789637375517419072,3815991701175217,7015
46,3815991701175345,1789637375517426208,3815991701182348,7003
47,3815991701182475,1789637375517433376,3815991701189495,7020
48,3815991701189627,1789637375517440512,3815991701196632,7005
49,3815991701196762,1789637375517447616,3815991701203754,6992
50,3815991701203883,1789637375517454752,3815991701210872,6989
51,3815991701211000,1789637375517461888,3815991701218082,7082
52,3815991701218212,1789637375517469088,3815991701225196,6984
53,3815991701225325,1789637375517476224,3815991701232335,7010
54,3815991701232462,1789637375517483360,3815991701239541,7079
55,3815991701239667,1789637375517490560,3815991701246708,7041
56,3815991701246835,1789637375517497728,3815991701253844,7009
57,3815991701253974,1789637375517504864,3815991701261002,7028
58,3815991701261131,1789637375517512032,3815991701268145,7014
59,3815991701268274,1789637375517519168,3815991701275282,7008
60,3815991701275412,1789637375517526304,3815991701282482,7070
61,3815991701282613,1789637375517533504,3815991701289634,7021
62,3815991701289765,1789637375517540640,3815991701296772,7007
63,3815991701296902,1789637375517547776,3815991701303922,7020
64,3815991701304052,1789637375517554944,3815991701311074,7022
65,3815991701311199,1789637375517562080,3815991701318228,7029
66,3815991701318358,1789637375517569248,3815991701325385,7027
67,3815991701325515,1789637375517576384,3815991701332532,7017
68,3815991701332662,1789637375517583552,3815991701339674,7012
69,3815991701339803,1789637375517590688,3815991701346841,7038
70,3815991701346968,1789637375517597856,3815991701354002,7034
71,3815991701354132,1789637375517605024,3815991701361145,7013
72,3815991701361275,1789637375517612128,3815991701368305,7030
73,3815991701368432,1789637375517619328,3815991701375481,7049
74,3815991701375609,1789637375517626496,3815991701382632,7023
75,3815991701382759,1789637375517633632,3815991701389785,7026
76,3815991701389911,1789637375517640800,3815991701396986,7075
77,3815991701397115,1789637375517648000,3815991701404136,7021
78,3815991701404265,1789637375517655136,3815991701411285,7020
79,3815991701411415,1789637375517662304,3815991701418452,7037
80,3815991701418582,1789637375517669472,3815991701425608,7026
81,3815991701425738,1789637375517676608,3815991701432756,7018
82,3815991701432882,1789637375517683776,3815991701439917,7035
83,3815991701440043,1789637375517690912,3815991701447077,7034
84,3815991701447205,1789637375517698080,3815991701454225,7020
85,3815991701454353,1789637375517705216,3815991701461364,7011
86,3815991701461493,1789637375517712384,3815991701468524,7031
87,3815991701468652,1789637375517719552,3815991701475681,7029
88,3815991701475809,1789637375517726688,3815991701482828,7019
89,3815991701482955,1789637375517733824,3815991701489968,7013
90,3815991701490096,1789637375517740992,3815991701497114,7018
91,3815991701497243,1789637375517748096,3815991701504292,7049
92,3815991701504422,1789637375517755296,3815991701511442,7020
93,3815991701511573,1789637375517762464,3815991701518585,7012
94,3815991701518715,1789637375517769600,3815991701525753,7038
95,3815991701525882,1789637375517776768,3815991701532912,7030
96,3815991701533041,1789637375517784000,3815991701540144,7103
97,3815991701540273,1789637375517791168,3815991701547302,7029
98,3815991701547432,1789637375517798304,3815991701554456,7024
99,3815991701554583,1789637375517805472,3815991701561608,7025
100,3815991701561738,1789637375517812608,3815991701568752,7014
101,3815991701568878,1789637375517819744,3815991701575992,7114
102,3815991701576123,1789637375517827008,3815991701583148,7025
103,3815991701583276,1789637375517834144,3815991701590283,7007
104,3815991701590412,1789637375517841312,3815991701597442,7030
105,3815991701597571,1789637375517848448,3815991701604594,7023
106,3815991701604723,1789637375517855616,3815991701611746,7023
107,3815991701611875,1789637375517862752,3815991701624135,12260
108,3815991701624263,1789637375517874208,3815991701630322,6059
109,3815991701630451,1789637375517881344,3815991701637514,7063
110,3815991701637645,1789637375517888512,3815991701644653,7008
111,3815991701644776,1789637375517895648,3815991701651804,7028
112,3815991701651933,1789637375517902816,3815991701658975,7042
113,3815991701659102,1789637375517909984,3815991701666120,7018
114,3815991701666249,1789637375517917120,3815991701673264,7015
115,3815991701673393,1789637375517924256,3815991701680456,7063
116,3815991701680583,1789637375517931456,3815991701687602,7019
117,3815991701687732,1789637375517938624,3815991701694762,7030
118,3815991701694890,1789637375517945760,3815991701701906,7016
119,3815991701702037,1789637375517952896,3815991701709041,7004
120,3815991701709167,1789637375517960032,3815991701716186,7019
121,3815991701716315,1789637375517967200,3815991701723352,7037
122,3815991701723480,1789637375517974336,3815991701730515,7035
123,3815991701730642,1789637375517981536,3815991701737665,7023
124,3815991701737795,1789637375517988672,3815991701744818,7023
125,3815991701744948,1789637375517995840,3815991701751983,7035
126,3815991701752113,1789637375518002976,3815991701759138,7025
127,3815991701759267,1789637375518010144,3815991701766288,7021
128,3815991701766418,1789637375518017280,3815991701773445,7027
129,3815991701773575,1789637375518024448,3815991701780592,7017
130,3815991701780722,1789637375518031584,3815991701787733,7011
131,3815991701787863,1789637375518038720,3815991701794884,7021
132,3815991701795013,1789637375518045888,3815991701802048,7035
133,3815991701802179,1789637375518053056,3815991701809216,7037
134,3815991701809343,1789637375518060224,3815991701816413,7070
135,3815991701816542,1789637375518067424,3815991701823585,7043
136,3815991701823717,1789637375518074592,3815991701830741,7024
137,3815991701830867,1789637375518081728,3815991701837952,7085
138,3815991701838082,1789637375518088960,3815991701845114,7032
139,3815991701845245,1789637375518096096,3815991701852272,7027
140,3815991701852403,1789637375518103296,3815991701859448,7045
141,3815991701859575,1789637375518110432,3815991701866592,7017
142,3815991701866719,1789637375518117600,3815991701873753,7034
143,3815991701873883,1789637375518124768,3815991701880912,7029
144,3815991701881042,1789637375518131904,3815991701888074,7032
145,3815991701888203,1789637375518139072,3815991701895229,7026
146,3815991701895359,1789637375518146208,3815991701902372,7013
147,3815991701902503,1789637375518153376,3815991701909535,7032
148,3815991701909663,1789637375518160512,3815991701916669,7006
149,3815991701916798,1789637375518167680,3815991701923868,7070
150,3815991701923995,1789637375518174880,3815991701931042,7047
151,3815991701931171,1789637375518182048,3815991701938195,7024
152,3815991701938321,1789637375518189184,3815991701945352,7031
153,3815991701945483,1789637375518196352,3815991701952505,7022
154,3815991701952635,1789637375518203488,3815991701959665,7030
155,3815991701959793,1789637375518210656,3815991701966828,7035
156,3815991701966957,1789637375518217824,3815991701973989,7032
157,3815991701974122,1789637375518224928,3815991701981108,6986
158,3815991701981237,1789637375518232096,3815991701988265,7028
159,3815991701988395,1789637375518239264,3815991701995404,7009
160,3815991701995531,1789637375518246400,3815991702002558,7027
161,3815991702002687,1789637375518253536,3815991702009717,7030
162,3815991702009845,1789637375518260704,3815991702016882,7037
163,3815991702017014,1789637375518267872,3815991702024034,7020
164,3815991702024165,1789637375518275040,3815991702031195,7030
165,3815991702031321,1789637375518282208,3815991702038348,7027
166,3815991702038477,1789637375518289344,3815991702045496,7019
167,3815991702045627,1789637375518296480,3815991702052641,7014
168,3815991702052767,1789637375518303648,3815991702061285,8518
169,3815991702061418,1789637375518312192,3815991702068383,6965
170,3815991702068510,1789637375518319392,3815991702075552,7042
171,3815991702075681,1789637375518326560,3815991702082691,7010
172,3815991702082822,1789637375518333696,3815991702089862,7040
173,3815991702089990,1789637375518340864,3815991702097001,7011
174,3815991702097132,1789637375518348000,3815991702104141,7009
175,3815991702104271,1789637375518355136,3815991702111311,7040
176,3815991702111441,1789637375518362304,3815991702118473,7032
177,3815991702118599,1789637375518369472,3815991702125624,7025
178,3815991702125754,1789637375518376640,3815991702132783,7029
179,3815991702132911,1789637375518383776,3815991702139929,7018
180,3815991702140058,1789637375518390944,3815991702147084,7026
181,3815991702147211,1789637375518398080,3815991702154244,7033
182,3815991702154373,1789637375518405248,3815991702161402,7029
183,3815991702161532,1789637375518412384,3815991702168564,7032
184,3815991702168691,1789637375518419552,3815991702175721,7030
185,3815991702175851,1789637375518426720,3815991702182858,7007
186,3815991702182989,1789637375518433856,3815991702190000,7011
187,3815991702190127,1789637375518440992,3815991702197155,7028
188,3815991702197285,1789637375518448160,3815991702204315,7030
189,3815991702204445,1789637375518455296,3815991702211473,7028
190,3815991702211599,1789637375518462464,3815991702218624,7025
191,3815991702218754,1789637375518469600,3815991702225778,7024
192,3815991702225903,1789637375518476768,3815991702232911,7008
193,3815991702233039,1789637375518484000,3815991702240346,7307
194,3815991702240475,1789637375518491328,3815991702247498,7023
195,3815991702247623,1789637375518498496,3815991702254628,7005
196,3815991702254759,1789637375518505632,3815991702261791,7032
197,3815991702261921,1789637375518512800,3815991702268945,7024
198,3815991702269073,1789637375518519936,3815991702276095,7022
199,3815991702276225,1789637375518527104,3815991702283279,7054
200,3815991702283410,1789637375518534272,3815991702290483,7073
201,3815991702290613,1789637375518541472,3815991702297641,7028
202,3815991702297771,1789637375518548640,3815991702304791,7020
203,3815991702304921,1789637375518555776,3815991702311948,7027
204,3815991702312075,1789637375518562912,3815991702319107,7032
205,3815991702319237,1789637375518570144,3815991702326304,7067
206,3815991702326434,1789637375518577280,3815991702333436,7002
207,3815991702333563,1789637375518584416,3815991702340586,7023
208,3815991702340718,1789637375518591584,3815991702347744,7026
209,3815991702347874,1789637375518598752,3815991702354881,7007
210,3815991702355011,1789637375518605888,3815991702362023,7012
211,3815991702362148,1789637375518613024,3815991702369191,7043
212,3815991702369321,1789637375518620192,3815991702376344,7023
213,3815991702376475,1789637375518627328,3815991702383481,7006
214,3815991702383607,1789637375518634432,3815991702390591,6984
215,3815991702390718,1789637375518641600,3815991702397764,7046
216,3815991702397891,1789637375518648736,3815991702404911,7020
217,3815991702405041,1789637375518655904,3815991702412065,7024
218,3815991702412191,1789637375518663072,3815991702419238,7047
219,3815991702419365,1789637375518670240,3815991702426401,7036
220,3815991702426527,1789637375518677408,3815991702433552,7025
221,3815991702433678,1789637375518684544,3815991702440711,7033
222,3815991702440841,1789637375518691712,3815991702447944,7103
223,3815991702448074,1789637375518698944,3815991702455097,7023
224,3815991702455223,1789637375518706080,3815991702462231,7008
225,3815991702462359,1789637375518713216,3815991702469397,7038
226,3815991702469525,1789637375518720384,3815991702476543,7018
227,3815991702476672,1789637375518727520,3815991702483685,7013
228,3815991702483814,1789637375518734688,3815991702490795,6981
229,3815991702490925,1789637375518741792,3815991702497955,7030
230,3815991702498085,1789637375518748928,3815991702505371,7286
231,3815991702505501,1789637375518756352,3815991702512548,7047
232,3815991702512675,1789637375518763552,3815991702519688,7013
233,3815991702519815,1789637375518770688,3815991702526863,7048
234,3815991702526993,1789637375518777856,3815991702533992,6999
235,3815991702534120,1789637375518784992,3815991702541211,7091
236,3815991702541337,1789637375518792192,3815991702548631,7294
237,3815991702548759,1789637375518799616,3815991702555815,7056
238,3815991702555947,1789637375518806816,3815991702562992,7045
239,3815991702563117,1789637375518813984,3815991702570132,7015
240,3815991702570261,1789637375518821120,3815991702577287,7026
241,3815991702577415,1789637375518828256,3815991702584424,7009
242,3815991702584555,1789637375518835424,3815991702591569,7014
243,3815991702591699,1789637375518842560,3815991702598724,7025
244,3815991702598855,1789637375518849696,3815991702605871,7016
245,3815991702605999,1789637375518856864,3815991702613018,7019
246,3815991702613148,1789637375518864000,3815991702620160,7012
247,3815991702620289,1789637375518871136,3815991702627311,7022
248,3815991702627441,1789637375518878304,3815991702634455,7014
249,3815991702634583,1789637375518885440,3815991702641624,7041
250,3815991702641754,1789637375518892608,3815991702648781,7027
251,3815991702648907,1789637375518899776,3815991702655991,7084
252,3815991702656121,1789637375518906976,3815991702663131,7010
253,3815991702663259,1789637375518914112,3815991702670283,7024
254,3815991702670411,1789637375518921280,3815991702677434,7023
255,3815991702677559,1789637375518928416,3815991702684592,7033
256,3815991702684722,1789637375518935584,3815991702691755,7033
257,3815991702691885,1789637375518942752,3815991702698911,7026
258,3815991702699041,1789637375518949888,3815991702706064,7023
259,3815991702706194,1789637375518957056,3815991702713218,7024
260,3815991702713343,1789637375518964224,3815991702720351,7008
261,3815991702720478,1789637375518971328,3815991702727499,7021
262,3815991702727628,1789637375518978464,3815991702734651,7023
263,3815991702734781,1789637375518985632,3815991702741791,7010
264,3815991702741920,1789637375518992768,3815991702748932,7012
265,3815991702749059,1789637375518999904,3815991702756076,7017
266,3815991702756207,1789637375519007040,3815991702763215,7008
267,3815991702763345,1789637375519014208,3815991702770376,7031
268,3815991702770507,1789637375519021344,3815991702777513,7006
269,3815991702777639,1789637375519028512,3815991702784663,7024
270,3815991702784793,1789637375519035648,3815991702791835,7042
271,3815991702791965,1789637375519042816,3815991702798964,6999
272,3815991702799093,1789637375519049952,3815991702806116,7023
273,3815991702806245,1789637375519057120,3815991702813281,7036
274,3815991702813411,1789637375519064256,3815991702820415,7004
275,3815991702820545,1789637375519071392,3815991702827559,7014
276,3815991702827688,1789637375519078560,3815991702834755,7067
277,3815991702834883,1789637375519085728,3815991702841904,7021
278,3815991702842033,1789637375519092896,3815991702849057,7024
279,3815991702849183,1789637375519100032,3815991702856199,7016
280,3815991702856328,1789637375519107168,3815991702863352,7024
281,3815991702863483,1789637375519114336,3815991702870495,7012
282,3815991702870625,1789637375519121472,3815991702877663,7038
283,3815991702877793,1789637375519128640,3815991702884800,7007
284,3815991702884927,1789637375519135776,3815991702891931,7004
285,3815991702892061,1789637375519142912,3815991702899135,7074
286,3815991702899265,1789637375519150112,3815991702906283,7018
287,3815991702906414,1789637375519157280,3815991702913425,7011
288,3815991702913551,1789637375519164416,3815991702920591,7040
289,3815991702920721,1789637375519171552,3815991702927732,7011
290,3815991702927861,1789637375519178720,3815991702934871,7010
291,3815991702935000,1789637375519185856,3815991702942061,7061
292,3815991702942189,1789637375519193056,3815991702949195,7006
293,3815991702949323,1789637375519200192,3815991702956356,7033
294,3815991702956488,1789637375519207328,3815991702963500,7012
295,3815991702963627,1789637375519214464,3815991702970656,7029
296,3815991702970785,1789637375519221632,3815991702977808,7023
297,3815991702977937,1789637375519228768,3815991702984963,7026
298,3815991702985094,1789637375519235936,3815991702992112,7018
299,3815991702992241,1789637375519243072,3815991702999251,7010
300,3815991702999378,1789637375519250240,3815991703006423,7045
301,3815991703006555,1789637375519257408,3815991703013581,7026
302,3815991703013705,1789637375519264576,3815991703020729,7024
303,3815991703020855,1789637375519271712,3815991703027922,7067
304,3815991703028052,1789637375519278912,3815991703035084,7032
305,3815991703035211,1789637375519286080,3815991703042232,7021
306,3815991703042361,1789637375519293216,3815991703049367,7006
307,3815991703049497,1789637375519300352,3815991703056508,7011
308,3815991703056635,1789637375519307488,3815991703065271,8636
309,3815991703065401,1789637375519316256,3815991703072424,7023
310,3815991703072553,1789637375519323424,3815991703079583,7030
311,3815991703079713,1789637375519330560,3815991703086739,7026
