sample,cpu_send_ns,gpu_ns,cpu_observed_ns,rtt_ns
0,3815992336823541,1789637376153210048,3815992336977978,154437
1,3815992336978116,1789637376153217248,3815992336984963,6847
2,3815992336985103,1789637376153224256,3815992336991998,6895
3,3815992336992137,1789637376153231296,3815992336999023,6886
4,3815992336999045,1789637376153238304,3815992337006081,7036
5,3815992337006223,1789637376153245344,3815992337013075,6852
6,3815992337013217,1789637376153252352,3815992337020087,6870
7,3815992337020224,1789637376153259360,3815992337027099,6875
8,3815992337027242,1789637376153266368,3815992337034122,6880
9,3815992337034258,1789637376153273408,3815992337041111,6853
10,3815992337041251,1789637376153280384,3815992337048131,6880
11,3815992337048271,1789637376153287392,3815992337055151,6880
12,3815992337055291,1789637376153294432,3815992337062160,6869
13,3815992337062297,1789637376153301440,3815992337069157,6860
14,3815992337069297,1789637376153308448,3815992337076171,6874
15,3815992337076310,1789637376153315456,3815992337083190,6880
16,3815992337083330,1789637376153322464,3815992337090219,6889
17,3815992337090357,1789637376153329504,3815992337097221,6864
18,3815992337097359,1789637376153336512,3815992337104242,6883
19,3815992337104383,1789637376153343520,3815992337111260,6877
20,3815992337111396,1789637376153350560,3815992337118266,6870
21,3815992337118405,1789637376153357568,3815992337125330,6925
22,3815992337125471,1789637376153364608,3815992337132323,6852
23,3815992337132463,1789637376153371584,3815992337139340,6877
24,3815992337139479,1789637376153378624,3815992337146373,6894
25,3815992337146513,1789637376153385664,3815992337153381,6868
26,3815992337153519,1789637376153392672,3815992337160451,6932
27,3815992337160590,1789637376153399744,3815992337167438,6848
28,3815992337167577,1789637376153406720,3815992337174446,6869
29,3815992337174586,1789637376153413728,3815992337181491,6905
30,3815992337181628,1789637376153420768,3815992337188485,6857
31,3815992337188623,1789637376153427776,3815992337195555,6932
32,3815992337195695,1789637376153434816,3815992337202573,6878
33,3815992337202709,1789637376153441856,3815992337209579,6870
34,3815992337209716,1789637376153448864,3815992337216611,6895
35,3815992337216751,1789637376153455872,3815992337223621,6870
36,3815992337223758,1789637376153462912,3815992337230680,6922
37,3815992337230820,1789637376153469952,3815992337237714,6894
38,3815992337237854,1789637376153476992,3815992337244729,6875
39,3815992337244867,1789637376153484000,3815992337251723,6856
40,3815992337251863,1789637376153491008,3815992337258731,6868
41,3815992337258871,1789637376153497984,3815992337265797,6926
42,3815992337265937,1789637376153505056,3815992337272807,6870
43,3815992337272945,1789637376153512096,3815992337279810,6865
44,3815992337279949,1789637376153519072,3815992337286837,6888
45,3815992337286977,1789637376153526112,3815992337293847,6870
46,3815992337293983,1789637376153533120,3815992337300913,6930
47,3815992337301054,1789637376153540160,3815992337307922,6868
48,3815992337308059,1789637376153547200,3815992337314927,6868
49,3815992337315064,1789637376153554208,3815992337321960,6896
50,3815992337322096,1789637376153561216,3815992337328961,6865
51,3815992337329099,1789637376153568224,3815992337336029,6930
52,3815992337336168,1789637376153575296,3815992337343031,6863
53,3815992337343171,1789637376153582304,3815992337350025,6854
54,3815992337350167,1789637376153589280,3815992337357060,6893
55,3815992337357196,1789637376153596320,3815992337364067,6871
56,3815992337364207,1789637376153603360,3815992337371143,6936
57,3815992337371284,1789637376153610400,3815992337378147,6863
58,3815992337378283,1789637376153617408,3815992337385151,6868
59,3815992337385289,1789637376153624416,3815992337392117,6828
60,3815992337392256,1789637376153631392,3815992337399121,6865
61,3815992337399259,1789637376153638400,3815992337406247,6988
62,3815992337406385,1789637376153645504,3815992337413258,6873
63,3815992337413397,1789637376153652544,3815992337420270,6873
64,3815992337420410,1789637376153659552,3815992337427300,6890
65,3815992337427437,1789637376153666560,3815992337434384,6947
66,3815992337434522,1789637376153673664,3815992337441400,6878
67,3815992337441537,1789637376153680672,3815992337448403,6866
68,3815992337448543,1789637376153687680,3815992337455409,6866
69,3815992337455547,1789637376153694688,3815992337462412,6865
70,3815992337462548,1789637376153701696,3815992337469421,6873
71,3815992337469560,1789637376153708704,3815992337476493,6933
72,3815992337476633,1789637376153715744,3815992337483479,6846
73,3815992337483617,1789637376153722752,3815992337490459,6842
74,3815992337490596,1789637376153729728,3815992337497460,6864
75,3815992337497597,1789637376153736736,3815992337504461,6864
76,3815992337504597,1789637376153743744,3815992337511599,7002
77,3815992337511737,1789637376153750880,3815992337518599,6862
78,3815992337518736,1789637376153757856,3815992337525600,6864
79,3815992337525737,1789637376153764864,3815992337532651,6914
80,3815992337532791,1789637376153771936,3815992337539660,6869
81,3815992337539797,1789637376153778912,3815992337546719,6922
82,3815992337546856,1789637376153785984,3815992337558638,11782
83,3815992337558780,1789637376153797120,3815992337564860,6080
84,3815992337564999,1789637376153804128,3815992337571873,6874
85,3815992337572013,1789637376153811136,3815992337578881,6868
86,3815992337579018,1789637376153818144,3815992337585947,6929
87,3815992337586084,1789637376153825216,3815992337592935,6851
88,3815992337593074,1789637376153832288,3815992337600011,6937
89,3815992337600151,1789637376153839264,3815992337607199,7048
90,3815992337607336,1789637376153846464,3815992337614222,6886
91,3815992337614358,1789637376153853472,3815992337621217,6859
92,3815992337621357,1789637376153860480,3815992337628251,6894
93,3815992337628391,1789637376153867520,3815992337635259,6868
94,3815992337635397,1789637376153874528,3815992337642312,6915
95,3815992337642453,1789637376153881568,3815992337649305,6852
96,3815992337649444,1789637376153888576,3815992337656310,6866
97,3815992337656450,1789637376153895584,3815992337663344,6894
98,3815992337663486,1789637376153902624,3815992337670347,6861
